Material_Type,Strength_MPa,Weight_Capacity_kg,Biodegradability_Score,CO2_Emission_Score,Recyclability_Percent
Piñatex (Pineapple Fiber),147.47,4.43,0.61,3.58,90.67
Mycelium Leather,27.31,3.79,0.27,2.81,23.08
Piñatex (Pineapple Fiber),58.8,5.37,0.59,3.66,78.92
Recycled Polyester (rPET),92.42,8.34,0.45,2.39,34.74
Recycled Cotton,156.38,12.28,0.41,3.58,74.66
Tencel (Lyocell),195.68,10.12,0.92,3.4,44.02
Piñatex (Pineapple Fiber),94.47,11.83,0.77,0.19,38.42
Cork Fabric,104.41,4.11,0.43,1.88,87.45
Organic Cotton,176.79,12.19,0.5,0.39,78.45
Recycled Cotton,171.39,10.42,0.56,1.51,56.45
Organic Cotton,144.4,10.37,0.5,2.71,40.59
Piñatex (Pineapple Fiber),168.7,7.87,0.31,1.28,82.63
Cork Fabric,61.51,10.4,0.72,2.92,52.76
Bamboo Fiber,57.25,13.89,0.42,0.79,99.13
Recycled Cotton,43.27,8.34,0.35,3.81,71.35
Cork Fabric,147.29,4.03,0.94,3.37,75.37
Piñatex (Pineapple Fiber),171.58,11.2,0.73,3.66,67.03
Recycled Polyester (rPET),119.51,3.03,0.35,2.93,80.64
Cork Fabric,173.17,8.2,0.27,2.01,93.51
Recycled Cotton,179.64,7.6,0.66,1.44,64.87
Recycled Cotton,135.23,2.24,0.53,0.29,28.84
Recycled Cotton,65.31,13.48,0.87,0.67,99.59
Organic Cotton,118.48,7.43,0.3,3.45,29.66
Bamboo Fiber,104.72,10.64,0.47,2.82,77.36
Tencel (Lyocell),172.59,1.32,0.45,2.29,92.79
Hemp Fiber,150.8,2.18,0.45,1.74,88.95
Cork Fabric,109.4,10.59,0.74,2.53,99.8
Hemp Fiber,167.52,4.61,0.28,1.22,74.22
Recycled Polyester (rPET),170.06,13.1,0.27,0.94,84.86
Hemp Fiber,149.52,9.08,0.39,1.83,67.88
Bamboo Fiber,170.64,8.07,0.82,1,96.88
Linen (Flax Fiber),81.76,14.23,0.76,3.38,14.09
Piñatex (Pineapple Fiber),84.21,11.76,0.56,1.96,56.47
Organic Cotton,169.22,1.2,0.58,0.34,89.58
