Material_Type,Strength_MPa,Weight_Capacity_kg,Biodegradability_Score,CO2_Emission_Score,Recyclability_Percent
Aluminum (Recycled),149.61,4.67,0.3,3,46.53
Recycled PET,36.08,1.76,0.52,1.64,59.34
Bamboo Fiber,83.44,2.25,0.38,1.63,93.98
Cork Material,88.22,0.74,0.36,2.41,97.78
Paper Pulp Composite,82.54,4.33,0.86,2.5,49.11
Mycelium Packaging,103.87,2.99,0.74,1.26,43.83
PLA Bioplastic,54.17,3.45,0.87,0.1,82.51
Biodegradable Polymer,114.74,1.44,0.83,0.35,61.35
Mycelium Packaging,23.46,4.52,0.3,1.6,35.85
Paper Pulp Composite,39.63,1.36,0.59,0.21,70.19
Sugarcane Bioplastic,143.91,1.34,0.38,1.62,96.5
Sugarcane Bioplastic,85.68,3.84,0.24,0.46,85.47
Aluminum (Recycled),133.64,2.73,0.56,2.68,56.43
Cork Material,33.15,4.64,0.48,2.26,80.82
Cork Material,106.63,3.26,0.48,2.3,54.96
Recycled PET,69.93,4.83,0.73,1.88,38.03
Cork Material,18.97,1.81,0.95,1.17,83.4
Cork Material,90.32,0.06,0.69,1.01,66.89
Aluminum (Recycled),109.27,2.38,0.81,1.43,48.83
PLA Bioplastic,106.73,4.99,0.34,0.45,95.28
Glass (Recycled),75,1.19,0.61,0.67,33.45
Bamboo Fiber,27.4,0.15,0.22,0.13,47.23
Recycled PET,50.42,1.2,0.97,0.87,46.35
Sugarcane Bioplastic,89.81,2.12,0.49,2.45,50.28
Recycled PET,95.81,2.16,0.8,1.31,59.99
PLA Bioplastic,16.24,0.58,0.38,2.15,69.18
Sugarcane Bioplastic,20.08,4.84,0.65,0.65,47.66
Sugarcane Bioplastic,32.63,4.7,0.5,0.2,81.87
Sugarcane Bioplastic,79.13,3.12,0.86,0.51,31.3
Paper Pulp Composite,15.56,4.08,0.81,1.39,67.23
Bamboo Fiber,91.16,1.93,0.64,2.25,76.85
Cork Material,28.52,3.83,0.37,0.27,36.68
Paper Pulp Composite,19.32,1.34,0.84,0.62,74.76
Biodegradable Polymer,127.55,3.14,0.46,2.2,66.59
Aluminum (Recycled),140.48,0.12,0.39,1.87,96.43
Mycelium Packaging,11.12,4.64,0.44,0.54,31.69
Paper Pulp Composite,139.67,4.6,0.52,2.89,42.18
Cork Material,20.99,3.48,0.21,1.41,97.29
Recycled PET,12.1,0.92,0.47,0.44,86.66
Bamboo Fiber,49.41,1.81,0.92,0.76,31.67
Glass (Recycled),74.38,2.75,0.84,0.89,64.32
Glass (Recycled),12.17,2.99,0.55,2.43,52.07
Mycelium Packaging,124.11,2.74,0.35,1.79,33.37
Mycelium Packaging,68.83,3.41,0.93,0.05,98.37
Recycled PET,45.66,0.46,0.33,0.67,59.22
Bamboo Fiber,49.98,2.95,0.8,2.58,82.86
Sugarcane Bioplastic,131.03,1.65,0.74,1.38,56.75
PLA Bioplastic,97.07,2.18,0.98,2.05,43.9
Paper Pulp Composite,58.07,4,0.9,2.72,76.39
Recycled PET,51.83,2.73,0.89,0.6,35.85
Aluminum (Recycled),82.66,3.87,0.66,1.42,53.99
Cork Material,118.2,3.54,0.39,0.18,49.69
Biodegradable Polymer,132.49,3.46,0.66,0.52,62.68
Mycelium Packaging,128.58,4.2,0.31,1.64,62.7
Cork Material,71.72,2.43,0.47,0.08,65.38
Biodegradable Polymer,17.76,0.83,0.68,0.99,92.34
Biodegradable Polymer,40.45,1.04,0.74,0.51,65.73
Aluminum (Recycled),115.21,1.15,0.62,2.37,31.56
PLA Bioplastic,65.01,0.45,0.48,0.05,73.72
Bamboo Fiber,125.7,4.28,0.28,1.97,79.25
Aluminum (Recycled),121.95,0.22,0.82,2.21,48.18
Aluminum (Recycled),41.7,3.38,0.82,1.56,73.07
Sugarcane Bioplastic,148.67,1.54,0.31,2.71,67.91
Aluminum (Recycled),145.25,1.06,0.99,1.99,86.64
Bamboo Fiber,84.75,2.91,0.93,0.98,80.83
Recycled PET,36.41,2.24,0.67,2.97,44.27
Paper Pulp Composite,41.55,3.25,0.94,0.64,91.59
Glass (Recycled),39.67,4,0.44,0.13,71.54
Recycled PET,33.2,2.54,0.83,2.72,45.37
Biodegradable Polymer,122.55,0.21,0.77,1.42,96.33
Paper Pulp Composite,80.8,3.49,0.57,1.12,87.12
Paper Pulp Composite,107.55,3.84,0.47,2.55,60.01
Biodegradable Polymer,101.88,0.11,0.79,1.83,77.6
Recycled PET,74.2,0.61,0.22,2.28,57.64
Paper Pulp Composite,127.07,4.91,0.67,2.03,36.04
Mycelium Packaging,66.33,4.53,0.23,2.33,38.79
Paper Pulp Composite,11.45,2.72,0.2,2.86,93.38
Cork Material,81.48,3.59,0.26,1.87,88.65
Aluminum (Recycled),136.81,4.95,0.77,2.21,93.65
Paper Pulp Composite,90.32,3.21,0.59,2.67,91.22
Biodegradable Polymer,47,4.1,0.45,2.95,48.66
Biodegradable Polymer,54.03,4.56,0.49,1.33,65.86
Biodegradable Polymer,52.78,2.45,0.72,0.47,51.41
Recycled PET,130.33,2.81,0.75,1.39,73.98
Bamboo Fiber,90.75,1.59,0.61,2.75,59.85
Mycelium Packaging,142.86,0.34,0.91,1.74,56.52
Bamboo Fiber,22.25,1.18,0.45,0.57,72.5
Aluminum (Recycled),143.44,0.88,0.55,0.52,91.55
Cork Material,58.86,0.33,0.38,2.01,64.81
Cork Material,34.93,2.94,0.94,0.37,61.69
Aluminum (Recycled),116.98,3.15,0.77,0.62,34.79
Recycled PET,62.56,4.88,0.33,2.92,83.72
Aluminum (Recycled),103.62,2.41,0.21,1.09,64.45
Sugarcane Bioplastic,91.94,2.23,0.69,0.99,37.83
Cork Material,54.79,4.92,0.38,1.05,66.67
Glass (Recycled),45.46,4.36,0.31,0.1,78.28
Aluminum (Recycled),65.55,4.32,0.95,1.38,98.25
PLA Bioplastic,106.15,2.27,0.93,1.95,30.37
Glass (Recycled),56.97,2.84,0.7,1.4,86.9
Bamboo Fiber,48.38,2.82,0.74,1.09,89.91
Bamboo Fiber,114.62,1.48,0.82,1.31,86.54
Mycelium Packaging,39.92,3.85,0.45,2.21,82.11
Biodegradable Polymer,35.56,2.73,0.42,1.51,81.38
PLA Bioplastic,104.44,4.01,0.26,0.73,44.53
Cork Material,109.58,2.79,0.44,2.51,60.47
Aluminum (Recycled),24.1,0.19,0.25,1.16,84.1
Paper Pulp Composite,38.36,2.18,0.52,0.48,81.05
Paper Pulp Composite,16.64,2.27,0.92,2.65,86.91
Cork Material,52.92,4.64,0.24,1.11,35.32
Bamboo Fiber,57.32,3.97,0.8,1.42,35.76
PLA Bioplastic,134.94,3.62,0.56,1.75,44.1
Cork Material,89.6,3.05,0.92,2.69,72.03
Mycelium Packaging,148,0.93,0.66,0.18,85.1
Recycled PET,83.91,3.71,0.32,1.68,45.16
Recycled PET,128.43,4.09,0.41,2.95,94.96
Bamboo Fiber,108.64,3.26,0.37,2.25,98.44
Sugarcane Bioplastic,10.53,4.67,0.89,2.2,66.17
Biodegradable Polymer,14.58,3.82,0.54,0.57,79.09
Bamboo Fiber,66.26,3.5,0.2,2.34,92.75
PLA Bioplastic,83.78,0.52,0.49,2.73,42.51
Sugarcane Bioplastic,38.18,0.65,0.7,2.85,32.81
Mycelium Packaging,72.18,4.15,0.54,1.07,77.25
Sugarcane Bioplastic,53.87,4.53,0.52,2.13,68.54
Biodegradable Polymer,74.82,0.56,0.96,0.42,39.18
Paper Pulp Composite,131.81,4.94,0.95,1.18,63.76
PLA Bioplastic,90.26,4.72,0.61,0.62,89.36
Bamboo Fiber,85.64,4.75,0.7,2.52,30.56
Glass (Recycled),20.88,1.64,0.96,0.08,87.59
Cork Material,70.02,2.96,0.89,1.86,67.27
Glass (Recycled),114.17,1.67,0.4,1.98,72.61
Glass (Recycled),64.12,2.71,0.91,2.82,45.27
Mycelium Packaging,30.2,0.12,0.77,1.72,85.62
Biodegradable Polymer,120.85,3.49,0.82,1.25,75.34
PLA Bioplastic,55.05,0.9,0.53,0.76,58.48
Cork Material,23.55,0.77,0.53,1.6,49.74
Recycled PET,96.74,1.3,0.83,1.33,55.03
Glass (Recycled),14.37,0.36,0.41,1.8,36.17
Mycelium Packaging,20.15,1.68,0.85,2.8,47.29
Mycelium Packaging,88.47,2.41,0.56,2.81,57.31
Glass (Recycled),11.93,2.11,0.95,1.06,84.58
Biodegradable Polymer,57.87,0.77,0.77,2.11,78.19
Mycelium Packaging,14.61,2.44,0.62,1.64,41.42
Cork Material,18.07,3.18,0.77,1.86,75.38
Sugarcane Bioplastic,30.92,2.6,0.9,0.59,62.4
Mycelium Packaging,57.49,3.48,0.73,2.49,89.25
Aluminum (Recycled),69.73,3.05,0.32,1.55,50.79
PLA Bioplastic,130.55,4.08,0.78,0.23,30.75
Cork Material,95.16,0.06,0.58,1.64,69.29
PLA Bioplastic,101.13,0.36,0.44,1.5,58.81
PLA Bioplastic,19.06,4.96,0.24,0.64,59.59
Cork Material,24.2,2.95,0.93,1.95,76.52
Mycelium Packaging,21.4,0.5,0.2,2.87,34.54
Mycelium Packaging,86.41,2.52,0.27,0.09,34.54
Mycelium Packaging,70.74,1.94,0.58,2.94,55.51
Mycelium Packaging,99.12,4.61,0.74,0.72,60.53
Glass (Recycled),16.09,4.76,0.65,1.16,99.65
Sugarcane Bioplastic,82.34,0.2,0.66,0.58,74.17
Glass (Recycled),24.09,3.24,0.86,1.1,45.15
PLA Bioplastic,31.11,1.88,0.31,2.19,63.39
Recycled PET,95.41,3.53,0.9,0.07,50.91
Glass (Recycled),68.54,0.18,0.43,1.54,97.62
Paper Pulp Composite,41.51,0.78,0.2,2.31,98.57
PLA Bioplastic,65.89,3.99,0.35,2.31,50.32
Recycled PET,106.57,1.97,0.42,2.84,51.31
Biodegradable Polymer,31.36,0.13,0.29,1.97,58.19
Bamboo Fiber,82.21,1.49,0.37,2.88,99.85
Biodegradable Polymer,15.56,0.4,0.58,1.08,95.61
Bamboo Fiber,121.06,2.4,0.41,0.33,37.4
Cork Material,48.33,1.68,0.64,0.7,77
Glass (Recycled),148.81,0.29,0.28,0.72,55.08
Aluminum (Recycled),83.61,0.43,0.9,2.86,86.88
Cork Material,83.9,1.73,0.64,2.92,51.82
Recycled PET,145.45,0.21,0.58,0.29,59.53
Biodegradable Polymer,75.73,1.09,0.23,1,32.6
Sugarcane Bioplastic,132.52,1.29,0.72,0.54,54.69
Glass (Recycled),15.98,3.19,0.81,2.46,61.74
Biodegradable Polymer,96.44,2.19,0.88,1.39,31.08
Cork Material,101.87,4.12,0.96,0.2,46.46
Sugarcane Bioplastic,19.02,2.31,0.43,1.56,58.42
Cork Material,118.2,4.22,0.23,1.49,46.76
Sugarcane Bioplastic,146.79,4.71,0.76,0.13,58.6
Cork Material,141.72,3.44,0.25,2.62,79.1
Mycelium Packaging,11.69,2.38,0.41,2.1,67.97
Biodegradable Polymer,127.94,3.11,0.63,0.78,50.66
Glass (Recycled),53.75,3.77,0.61,0.28,51.03
Cork Material,100.62,0.41,0.52,0.22,65.81
Sugarcane Bioplastic,49.5,4.42,0.65,0.39,45.89
Aluminum (Recycled),111.5,4.48,0.5,1.44,89.31
PLA Bioplastic,40.52,3.15,0.53,1.79,68.39
Glass (Recycled),115.04,4.74,0.63,0.62,82.7
Bamboo Fiber,70.83,2.2,0.34,1.97,93.93
PLA Bioplastic,125.16,4.4,0.46,0.41,80.49
Bamboo Fiber,83.63,4.69,0.98,0.74,89.56
Recycled PET,11.69,1.55,0.22,2.99,70.74
Cork Material,140.05,2.56,0.56,1.78,48.49
Glass (Recycled),139.28,4.45,0.27,2.9,39.38
Paper Pulp Composite,130.24,2.3,0.3,0.96,62.96
Recycled PET,99.5,1.51,0.48,0.44,66.04
Biodegradable Polymer,96.6,0.8,0.81,2.35,93.29
PLA Bioplastic,34.74,1.99,0.46,2.46,72.95
Bamboo Fiber,76.7,0.18,0.54,2.88,88.85
Sugarcane Bioplastic,124.9,3.02,0.75,1.5,36.17
Glass (Recycled),51.95,2.71,0.47,1.48,90.79
Biodegradable Polymer,56.25,4.23,0.54,2.6,75.99
PLA Bioplastic,125.59,1.99,0.94,0.2,64.32
Glass (Recycled),137.22,1.68,0.75,2.7,35.3
Biodegradable Polymer,36.72,4.26,0.73,1.07,40.6
Glass (Recycled),134.34,0.31,0.87,1.13,94.56
Bamboo Fiber,133.11,0.79,0.89,2.41,72.81
Sugarcane Bioplastic,123.43,0.61,0.53,2.66,96.97
Paper Pulp Composite,67.95,4.96,0.94,0.49,57.64
Recycled PET,23.48,2.21,0.29,1.74,52.78
Bamboo Fiber,137.51,0.16,0.86,0.61,78
PLA Bioplastic,38.2,2.55,0.42,2.49,47.05
Aluminum (Recycled),29.76,0.46,0.47,1.29,79.37
Biodegradable Polymer,46.62,0.66,0.98,1.52,45.69
Mycelium Packaging,139.46,1.97,0.59,0.8,91.95
Mycelium Packaging,65.7,1.04,0.56,0.39,42.41
Sugarcane Bioplastic,106.52,1.25,0.47,2.44,86.46
Aluminum (Recycled),50.7,4.91,0.54,2.12,90.76
Aluminum (Recycled),70.03,1.94,0.3,0.77,35.55
Cork Material,113.84,3.09,0.74,0.07,77.49
Aluminum (Recycled),18.14,3.02,0.26,1.1,80.57
Cork Material,137.92,1.77,0.82,1.66,87.15
PLA Bioplastic,92.59,3.95,0.28,1.63,55.62
