Material_Type,Strength_MPa,Weight_Capacity_kg,Biodegradability_Score,CO2_Emission_Score,Recyclability_Percent
Cork Material,256.39,172.3,0.86,3.16,63.06
Recycled Glass,269.7,192.91,0.45,3.98,71.73
PLA Bioplastic,129.98,168.04,0.4,3.28,62.09
Cork Material,237.88,174.65,0.98,4.02,67.69
Bamboo Composite,210.09,145.52,0.62,2.73,85.52
Hemp Fiber,152.61,41.33,0.76,1.16,48.11
Hemp Fiber,192.94,124.36,0.66,4.72,80.91
PLA Bioplastic,272.66,24.36,0.97,3.3,50.25
Recycled Plastic,56.1,66.51,0.43,2.89,66.32
Hemp Fiber,288.51,132.29,0.67,4.98,74.91
Hemp Fiber,88.44,36,0.2,3.32,48.29
Eco-Resin,285.88,134.19,0.11,3.15,80.42
Biodegradable Polymer,293.41,96.39,0.98,3.06,84.36
Biodegradable Polymer,143.68,196.02,0.42,2.46,81.32
Bamboo Composite,277.11,47.28,0.61,4.34,70.54
Eco-Resin,277.92,21.21,0.35,0.15,90.54
Biodegradable Polymer,220.57,61.43,0.26,2.97,41.21
PLA Bioplastic,123.55,33.56,0.61,3.55,57.31
Biodegradable Polymer,89.65,117.35,0.63,2.9,53.38
Biodegradable Polymer,256.99,141.4,0.37,4.09,63.79
PLA Bioplastic,89.94,66.08,0.97,2.98,79.58
Cork Material,287.7,130.58,0.48,3.07,41.15
Cork Material,220.5,61.16,0.45,3.77,92.71
Mycelium Biofoam,179.59,120.22,0.62,3.3,79.13
Bamboo Composite,81.95,32.55,0.19,4.92,55.62
Cork Material,217.09,24.54,0.93,3.6,99.93
PLA Bioplastic,65.5,125.03,0.21,4.26,88.44
Bamboo Composite,134.01,18.49,0.73,2.32,83.32
Bamboo Composite,293.15,171.88,0.11,1.86,83.8
Recycled Plastic,165.89,15.6,0.28,0.19,87.62
Cork Material,264.88,189.1,0.65,3.02,87.02
Bamboo Composite,194.01,117.56,0.31,4.68,76.84
Bamboo Composite,262,151.41,0.97,2.82,52.74
Recycled Plastic,72.13,189.15,0.77,2.5,53.64
Recycled Glass,43.88,16,0.54,4.42,98.58
Bamboo Composite,70.29,9.81,0.16,3.43,67.22
Eco-Resin,189.97,144.37,0.52,2.33,94.39
Hemp Fiber,25.78,152.88,0.39,1.98,75.3
Recycled Glass,20.02,65.81,0.48,4.44,80.79
Recycled Glass,212.5,47.02,0.95,3.68,55.24
Hemp Fiber,288.09,96.99,0.74,0.85,83.83
Cork Material,149.8,59.14,0.63,4.33,47.05
Hemp Fiber,68.97,142.37,0.52,4.22,52.29
Cork Material,54.95,145.81,0.13,3.76,45.56
Cork Material,229.79,147.68,0.14,1.12,57.21
Eco-Resin,48.08,8.2,0.94,3.38,87.11
Biodegradable Polymer,216.98,40.42,0.56,2.94,87.25
Hemp Fiber,114.68,192.51,0.31,4.75,96.48
Hemp Fiber,156.12,143.17,0.55,4.24,51.66
Recycled Glass,23.71,72.71,0.23,4.91,68.7
Eco-Resin,21.13,57.55,0.47,2.2,57.87
Biodegradable Polymer,163.17,48.74,0.19,4.32,98.38
PLA Bioplastic,135.18,75.06,0.46,1.58,86.51
Bamboo Composite,111.09,190.81,0.11,2.71,58.27
Hemp Fiber,42.27,22.47,0.7,1.3,65.23
Mycelium Biofoam,252.29,78.91,0.19,1.36,75.52
PLA Bioplastic,104.45,56.11,0.51,3.45,81.74
Mycelium Biofoam,141.36,166.24,0.56,0.52,79.6
Bamboo Composite,238.03,156.59,0.33,1.93,75.26
Cork Material,269.77,31.03,0.8,4.63,82.91
Bamboo Composite,41.55,106.17,0.38,2.93,97.57
Recycled Aluminum,153.08,157.81,0.6,0.88,48.63
Recycled Aluminum,97.73,30.13,0.45,4.79,51.23
Hemp Fiber,182.1,22.99,0.92,0.51,88.02
Recycled Glass,131.73,181.29,0.72,3.53,59.66
Biodegradable Polymer,27.58,147.62,0.79,0.15,58.5
