material_id,material_name,material_type,strength,weight_capacity,biodegradability_score,co2_emission_score,recyclability_percent,cost_per_kg,thickness_mm,water_resistance,temperature_tolerance
1,Cardboard Grade Economy,Cardboard,424.72,28.77,92.32,1.219,87.34,1.07,2.35,,13.0
2,Cardboard Grade A,Cardboard,590.53,6.41,92.22,1.457,85.01,2.49,5.7,3.0,11.0
3,Cardboard Grade A,Cardboard,204.24,5.58,90.25,1.08,85.7,2.46,3.4,3.0,
4,Cardboard Grade Economy,Cardboard,571.03,14.56,94.83,1.127,97.9,1.96,,3.0,-7.0
5,Cardboard Grade C,Cardboard,765.32,19.08,88.85,0.811,88.46,1.21,6.1,2.0,-3.0
6,Cardboard Grade B,Cardboard,220.63,27.73,87.59,1.264,89.68,1.68,5.28,3.0,52.0
7,Cardboard Grade B,Cardboard,705.37,16.24,88.95,1.449,95.91,1.36,5.42,2.0,51.0
8,Cardboard Grade B,Cardboard,395.2,14.72,87.71,1.38,90.35,1.28,5.26,2.0,18.0
9,Cardboard Grade Economy,Cardboard,681.32,6.86,94.87,1.341,87.98,0.81,6.89,2.0,
10,Cardboard Grade A,Cardboard,637.4,24.28,85.74,1.051,86.74,2.27,5.74,3.0,22.0
11,Cardboard Grade Economy,Cardboard,238.14,12.77,88.25,1.311,94.56,2.31,4.83,2.0,36.0
12,Cardboard Grade Economy,Cardboard,627.95,24.02,90.61,1.34,92.41,1.69,4.57,3.0,66.0
13,Cardboard Grade Standard,Cardboard,321.03,27.39,89.75,1.194,95.43,1.04,5.63,4.0,32.0
14,Cardboard Grade A,Cardboard,321.84,28.57,90.99,1.286,98.21,1.86,3.77,2.0,-5.0
15,Cardboard Grade Standard,Cardboard,473.92,10.46,89.17,1.418,89.87,1.01,,3.0,-10.0
16,Cardboard Grade Premium,Cardboard,336.76,15.68,93.18,1.403,85.1,1.67,4.5,2.0,
17,Cardboard Grade A,Cardboard,361.65,11.1,86.68,0.953,93.37,1.49,2.39,,41.0
18,Cardboard Grade A,Cardboard,348.13,22.41,92.12,0.904,99.97,1.25,7.86,3.0,76.0
19,Cardboard Grade A,Cardboard,367.19,27.71,87.4,0.901,92.34,2.48,3.45,4.0,64.0
20,Cardboard Grade B,Cardboard,421.79,11.05,93.03,1.129,99.75,1.48,6.9,2.0,62.0
21,Cardboard Grade B,Cardboard,392.47,9.66,85.41,1.214,95.16,0.83,5.07,4.0,9.0
22,Cardboard Grade Standard,Cardboard,587.1,9.36,91.91,1.071,99.05,1.03,4.05,2.0,39.0
23,Cardboard Grade Standard,Cardboard,754.82,26.93,87.58,1.262,97.26,1.74,5.18,3.0,
24,Cardboard Grade A,Cardboard,255.86,27.43,94.0,1.243,90.09,1.39,6.36,4.0,9.0
25,Cardboard Grade Standard,Cardboard,732.25,24.5,91.42,0.859,87.42,2.33,5.64,4.0,78.0
26,Cardboard Grade B,Cardboard,598.1,5.13,86.61,1.184,95.38,1.91,3.35,2.0,57.0
27,Cardboard Grade Economy,Cardboard,342.35,13.13,92.46,1.255,97.74,1.92,5.41,4.0,75.0
28,Cardboard Grade Economy,Cardboard,359.12,11.1,94.73,1.075,98.38,1.87,6.77,3.0,17.0
29,Cardboard Grade Economy,Cardboard,601.35,26.6,87.3,1.149,93.58,2.11,2.26,3.0,35.0
30,Cardboard Grade Standard,Cardboard,748.92,14.25,85.15,1.45,91.42,2.44,7.78,2.0,52.0
31,Cardboard Grade Premium,Cardboard,383.42,9.77,87.68,1.14,90.59,1.47,7.07,4.0,35.0
32,Cardboard Grade B,Cardboard,258.31,20.38,94.9,0.898,92.77,2.29,6.44,2.0,-2.0
33,Cardboard Grade Premium,Cardboard,621.49,13.99,87.94,1.367,97.15,2.27,7.48,3.0,-4.0
34,Cardboard Grade Standard,Cardboard,500.91,24.96,91.5,1.291,96.94,2.31,4.03,3.0,55.0
35,Cardboard Grade C,Cardboard,463.08,21.8,88.28,0.909,99.73,2.23,7.16,2.0,41.0
36,Cardboard Grade A,Cardboard,223.3,12.58,90.37,1.029,97.42,1.26,7.79,4.0,57.0
37,Cardboard Grade B,Cardboard,705.21,9.86,89.11,1.29,87.08,1.03,7.82,3.0,19.0
38,Cardboard Grade Economy,Cardboard,224.64,14.97,89.34,1.321,88.76,1.11,2.49,4.0,-2.0
39,Cardboard Grade Premium,Cardboard,613.1,6.45,94.15,1.11,88.6,0.96,3.1,2.0,-10.0
40,Cardboard Grade C,Cardboard,772.92,23.45,90.54,1.228,91.29,1.22,4.14,2.0,75.0
41,Cardboard Grade C,Cardboard,208.64,7.9,85.46,0.829,97.83,2.0,4.85,,
42,Cardboard Grade B,Cardboard,494.97,16.84,86.73,1.104,90.98,1.85,5.81,3.0,41.0
43,Cardboard Grade B,Cardboard,424.77,20.65,90.03,1.4,94.88,1.08,2.42,4.0,-9.0
44,Cardboard Grade C,Cardboard,215.91,19.64,94.4,1.203,90.82,1.89,4.75,4.0,32.0
45,Cardboard Grade A,Cardboard,764.88,14.65,94.61,1.434,87.94,0.92,2.6,3.0,24.0
46,Cardboard Grade A,Cardboard,401.93,21.39,88.85,1.277,90.11,1.24,4.98,3.0,64.0
47,Cardboard Grade Premium,Cardboard,726.48,23.38,93.03,0.997,87.66,2.08,6.84,2.0,25.0
48,Cardboard Grade A,Cardboard,423.21,24.41,88.41,1.452,97.88,1.53,6.51,2.0,19.0
49,Cardboard Grade C,Cardboard,741.53,17.63,93.26,1.024,98.43,1.46,2.07,2.0,8.0
50,Cardboard Grade C,Cardboard,254.77,12.98,94.5,1.465,93.6,1.87,4.69,4.0,1.0
51,Cardboard Grade Standard,Cardboard,397.2,21.81,92.52,1.354,96.84,0.96,4.97,,3.0
52,Cardboard Grade C,Cardboard,529.72,16.04,93.88,1.046,86.76,1.04,6.57,2.0,-4.0
53,Cardboard Grade A,Cardboard,455.65,10.56,88.97,1.424,87.2,1.67,3.4,2.0,54.0
54,Cardboard Grade Economy,Cardboard,728.22,10.92,94.08,1.214,90.25,2.0,4.89,3.0,28.0
55,Cardboard Grade Premium,Cardboard,454.53,27.66,86.11,1.145,85.17,1.6,2.34,2.0,28.0
56,Cardboard Grade Standard,Cardboard,647.63,19.58,94.62,1.062,89.29,2.28,3.34,,47.0
57,Cardboard Grade A,Cardboard,207.29,29.25,85.43,1.424,92.92,2.49,,4.0,8.0
58,Cardboard Grade Premium,Cardboard,781.58,18.08,91.29,1.287,91.82,1.87,5.51,4.0,46.0
59,Cardboard Grade A,Cardboard,749.15,28.97,85.58,1.076,86.6,1.37,3.02,3.0,-3.0
60,Cardboard Grade Standard,Cardboard,412.01,19.59,85.78,1.482,99.79,1.99,5.22,2.0,73.0
61,Cardboard Grade C,Cardboard,561.67,11.77,86.33,0.853,99.11,1.51,5.49,2.0,55.0
62,Cardboard Grade Economy,Cardboard,249.65,26.92,90.52,0.915,91.17,2.12,4.88,4.0,38.0
63,Cardboard Grade Standard,Cardboard,426.04,23.74,88.93,1.38,93.54,0.91,2.22,4.0,-10.0
64,Cardboard Grade C,Cardboard,208.2,6.88,91.92,1.174,96.25,2.35,5.51,2.0,26.0
65,Cardboard Grade Standard,Cardboard,654.25,14.45,87.41,0.944,88.77,1.27,3.24,2.0,21.0
66,Cardboard Grade B,Cardboard,228.14,11.72,85.22,1.149,92.14,2.21,3.85,2.0,43.0
67,Cardboard Grade Economy,Cardboard,780.78,7.21,92.92,1.213,92.2,1.51,6.71,3.0,55.0
68,Cardboard Grade A,Cardboard,683.03,27.58,91.17,1.486,94.12,1.88,5.33,4.0,52.0
69,Cardboard Grade A,Cardboard,635.84,18.69,89.51,1.437,89.47,1.69,6.19,2.0,-7.0
70,Cardboard Grade Economy,Cardboard,475.61,26.05,92.69,0.846,85.69,1.86,4.08,3.0,32.0
71,Cardboard Grade B,Cardboard,344.09,6.9,86.29,0.89,87.28,1.04,5.85,2.0,56.0
72,Cardboard Grade C,Cardboard,724.59,17.88,94.73,1.221,88.36,2.2,4.07,3.0,50.0
73,Cardboard Grade A,Cardboard,219.08,18.72,90.34,1.049,98.41,1.02,3.98,4.0,
74,Cardboard Grade B,Cardboard,255.37,17.03,91.88,1.158,87.35,1.44,2.02,2.0,-3.0
75,Cardboard Grade A,Cardboard,648.96,9.61,87.09,1.059,92.27,1.85,4.21,3.0,15.0
76,Cardboard Grade Premium,Cardboard,222.01,11.31,92.13,1.427,92.68,1.7,2.64,3.0,27.0
77,Cardboard Grade C,Cardboard,519.57,11.06,87.69,1.064,85.3,1.35,3.27,3.0,33.0
78,Cardboard Grade Premium,Cardboard,339.93,13.57,89.74,1.049,94.73,1.62,5.51,3.0,23.0
79,Cardboard Grade Economy,Cardboard,534.65,19.66,90.64,1.065,90.06,2.33,5.65,4.0,
80,Cardboard Grade C,Cardboard,498.95,13.26,94.34,0.805,88.38,1.42,4.93,3.0,64.0
81,Kraft Paper Grade B,Kraft Paper,189.55,12.48,90.56,1.09,90.52,0.63,2.24,3.0,-15.0
82,Kraft Paper Grade C,Kraft Paper,329.04,14.6,98.66,1.072,92.58,0.84,2.17,1.0,45.0
83,Kraft Paper Grade C,Kraft Paper,400.54,9.43,92.8,1.039,91.87,1.05,1.56,1.0,-1.0
84,Kraft Paper Grade B,Kraft Paper,259.08,3.49,96.11,0.702,95.81,0.82,1.7,3.0,-18.0
85,Kraft Paper Grade Economy,Kraft Paper,173.32,6.38,91.34,0.544,99.9,1.05,2.52,1.0,42.0
86,Kraft Paper Grade C,Kraft Paper,456.68,11.88,95.96,0.83,94.12,1.09,2.82,2.0,39.0
87,Kraft Paper Grade Economy,Kraft Paper,584.26,3.62,97.31,1.157,91.81,0.69,2.35,2.0,39.0
88,Kraft Paper Grade Economy,Kraft Paper,528.82,3.82,97.95,0.641,91.64,0.83,2.54,3.0,57.0
89,Kraft Paper Grade Economy,Kraft Paper,385.38,6.66,98.77,0.775,98.17,1.21,1.44,3.0,17.0
90,Kraft Paper Grade A,Kraft Paper,392.9,7.7,95.77,0.749,93.91,1.34,0.67,3.0,18.0
91,Kraft Paper Grade Standard,Kraft Paper,202.6,14.22,96.28,0.734,91.39,1.71,2.05,2.0,
92,Kraft Paper Grade Economy,Kraft Paper,504.87,3.97,93.12,0.674,97.44,0.65,1.92,2.0,-16.0
93,Kraft Paper Grade B,Kraft Paper,544.54,6.45,98.21,0.577,98.46,0.78,1.49,1.0,-13.0
94,Kraft Paper Grade Standard,Kraft Paper,217.46,4.98,97.22,1.004,96.41,1.57,1.86,3.0,6.0
95,Kraft Paper Grade Economy,Kraft Paper,305.56,4.36,99.08,0.908,94.01,1.25,2.87,2.0,-8.0
96,Kraft Paper Grade B,Kraft Paper,212.6,3.31,92.56,1.008,95.93,0.74,2.8,1.0,16.0
97,Kraft Paper Grade B,Kraft Paper,468.26,3.98,95.76,0.925,94.24,1.63,2.84,2.0,-10.0
98,Kraft Paper Grade Premium,Kraft Paper,352.88,3.47,99.85,1.087,91.25,1.89,2.67,,19.0
99,Kraft Paper Grade Premium,Kraft Paper,423.55,6.93,97.44,0.644,97.88,1.45,0.79,1.0,69.0
100,Kraft Paper Grade C,Kraft Paper,563.94,6.5,93.47,1.016,94.52,0.91,1.63,3.0,33.0
101,Kraft Paper Grade Economy,Kraft Paper,229.37,8.48,94.19,1.14,93.62,1.41,2.08,2.0,64.0
102,Kraft Paper Grade Economy,Kraft Paper,381.83,14.68,94.59,0.89,98.61,1.35,0.96,3.0,-20.0
103,Kraft Paper Grade Standard,Kraft Paper,289.47,7.17,94.27,1.06,93.49,1.26,2.06,1.0,9.0
104,Kraft Paper Grade B,Kraft Paper,526.45,9.64,92.94,1.0,95.28,1.35,1.7,2.0,17.0
105,Kraft Paper Grade Economy,Kraft Paper,494.41,3.34,93.34,0.553,97.53,0.98,2.74,,66.0
106,Kraft Paper Grade C,Kraft Paper,590.52,12.92,98.67,0.786,95.52,0.96,0.99,3.0,51.0
107,Kraft Paper Grade A,Kraft Paper,196.85,12.4,91.79,0.957,92.38,0.74,,2.0,11.0
108,Kraft Paper Grade B,Kraft Paper,535.06,12.79,93.97,0.968,92.05,1.01,2.74,3.0,53.0
109,Kraft Paper Grade A,Kraft Paper,188.48,4.7,90.27,0.627,95.83,1.19,2.73,3.0,
110,Kraft Paper Grade C,Kraft Paper,303.82,5.37,93.8,0.913,92.68,1.47,1.52,2.0,-12.0
111,Kraft Paper Grade Premium,Kraft Paper,346.26,5.83,99.48,1.035,91.4,1.82,1.72,2.0,66.0
112,Kraft Paper Grade C,Kraft Paper,509.93,7.53,90.22,0.688,95.42,1.49,1.14,2.0,1.0
113,Kraft Paper Grade A,Kraft Paper,525.72,14.8,95.26,0.62,92.72,0.63,2.79,1.0,21.0
114,Kraft Paper Grade B,Kraft Paper,409.43,5.56,95.54,0.956,98.3,0.89,0.53,1.0,6.0
115,Kraft Paper Grade Standard,Kraft Paper,555.01,13.36,95.97,0.92,96.65,0.85,2.79,2.0,64.0
116,Kraft Paper Grade Economy,Kraft Paper,322.41,8.75,90.47,0.616,97.38,0.72,2.01,2.0,8.0
117,Kraft Paper Grade C,Kraft Paper,325.18,5.75,93.56,1.003,92.97,1.39,,3.0,3.0
118,Kraft Paper Grade B,Kraft Paper,571.57,11.52,92.15,0.522,92.62,1.43,,2.0,52.0
119,Kraft Paper Grade Economy,Kraft Paper,496.91,3.39,90.75,1.01,94.95,1.56,1.59,3.0,14.0
120,Kraft Paper Grade Premium,Kraft Paper,518.6,12.39,96.95,0.691,95.9,1.11,0.73,3.0,28.0
121,Kraft Paper Grade Premium,Kraft Paper,211.57,14.35,94.46,0.63,95.42,1.82,2.33,,60.0
122,Kraft Paper Grade Economy,Kraft Paper,446.45,11.0,98.49,0.675,94.89,0.91,2.97,1.0,5.0
123,Kraft Paper Grade Premium,Kraft Paper,167.74,11.17,99.25,0.626,95.68,1.88,0.58,1.0,-14.0
124,Kraft Paper Grade B,Kraft Paper,283.81,14.02,99.71,1.161,94.74,1.81,2.61,2.0,38.0
125,Kraft Paper Grade C,Kraft Paper,523.01,2.48,95.96,0.661,91.21,0.71,2.24,2.0,34.0
126,Kraft Paper Grade B,Kraft Paper,332.02,9.44,98.04,0.877,96.62,1.63,1.8,1.0,21.0
127,Kraft Paper Grade B,Kraft Paper,544.5,7.43,94.62,1.193,90.0,0.86,1.46,3.0,
128,Kraft Paper Grade Economy,Kraft Paper,154.27,2.68,90.89,0.526,94.8,1.41,1.18,,-11.0
129,Kraft Paper Grade Standard,Kraft Paper,191.26,6.37,95.23,1.013,90.03,1.25,1.24,2.0,47.0
130,Kraft Paper Grade Standard,Kraft Paper,472.0,9.66,92.77,1.137,90.45,0.75,1.48,3.0,16.0
131,Kraft Paper Grade C,Kraft Paper,503.86,3.16,94.18,1.115,99.45,1.25,2.03,1.0,50.0
132,Kraft Paper Grade Economy,Kraft Paper,596.03,5.01,99.43,0.955,96.08,1.32,1.08,2.0,36.0
133,Kraft Paper Grade Standard,Kraft Paper,249.22,4.42,97.8,0.745,90.58,1.96,2.71,,-1.0
134,Kraft Paper Grade Premium,Kraft Paper,597.71,4.26,93.96,1.031,96.96,0.82,2.54,2.0,-8.0
135,Kraft Paper Grade Standard,Kraft Paper,250.72,8.98,95.93,0.906,90.91,1.83,,1.0,-12.0
136,Kraft Paper Grade Premium,Kraft Paper,169.97,13.08,90.35,0.73,99.32,1.63,1.2,3.0,17.0
137,Kraft Paper Grade C,Kraft Paper,266.89,11.4,94.96,0.557,92.2,1.56,0.69,1.0,19.0
138,Kraft Paper Grade B,Kraft Paper,547.31,8.71,99.07,0.9,96.62,1.36,2.66,1.0,-15.0
139,Kraft Paper Grade B,Kraft Paper,384.57,13.29,92.45,0.61,91.6,1.07,1.1,1.0,21.0
140,Kraft Paper Grade Standard,Kraft Paper,197.63,11.09,91.89,1.117,99.61,1.25,2.7,2.0,-11.0
141,Kraft Paper Grade Premium,Kraft Paper,518.98,4.97,99.09,0.501,95.56,1.66,,2.0,
142,Kraft Paper Grade A,Kraft Paper,427.62,14.76,96.32,0.682,96.34,1.36,2.45,2.0,62.0
143,Kraft Paper Grade A,Kraft Paper,492.46,9.04,99.63,0.739,96.33,1.9,0.76,2.0,47.0
144,Kraft Paper Grade A,Kraft Paper,285.43,11.21,90.67,0.908,93.46,1.47,0.61,2.0,-7.0
145,Kraft Paper Grade B,Kraft Paper,588.07,14.6,97.5,0.591,97.58,0.63,0.56,2.0,58.0
146,Kraft Paper Grade Economy,Kraft Paper,518.45,5.28,90.01,0.611,94.69,1.92,0.76,1.0,18.0
147,Kraft Paper Grade B,Kraft Paper,387.16,12.74,92.98,1.088,97.73,0.92,0.83,,60.0
148,Kraft Paper Grade Economy,Kraft Paper,583.46,2.41,97.31,1.137,98.57,1.95,2.4,1.0,-18.0
149,Kraft Paper Grade Premium,Kraft Paper,290.38,6.17,97.24,1.022,92.0,1.82,2.29,2.0,-6.0
150,Kraft Paper Grade Standard,Kraft Paper,362.19,9.06,91.59,0.643,90.91,0.82,1.63,2.0,50.0
151,Kraft Paper Grade A,Kraft Paper,431.8,3.71,90.33,1.145,96.17,1.72,1.7,2.0,50.0
152,Kraft Paper Grade Premium,Kraft Paper,206.33,10.91,94.3,0.64,94.92,0.69,1.95,1.0,-19.0
153,Kraft Paper Grade Premium,Kraft Paper,508.9,6.03,94.55,0.508,90.72,1.15,1.7,,17.0
