Material_ID,Material_Type,Strength,Weight_Capacity,Biodegradability_Score,CO2_Emission_Score,Recyclability_Percent
M-0141,Cotton,375.02,40.58,0.75,7.83,46.06
M-0832,Steel,225.91,88.88,0.3,48.31,39.43
M-0186,Steel,172.54,42.0,0.55,37.24,47.52
M-0754,Plastic,203.56,64.36,0.01,31.04,12.98
M-0932,Paper,489.02,32.47,0.25,11.3,52.99
M-0091,Cotton,55.89,76.36,0.53,40.72,
M-1051,Plastic,480.43,46.18,0.12,39.36,3.78
M-0092,Paper,348.59,11.75,0.03,47.47,16.7
M-1180,Glass,79.18,60.76,0.92,29.95,16.88
M-0620,Glass,156.89,38.54,0.18,29.83,90.09
M-1061,,347.14,73.66,0.17,18.73,22.31
M-0174,Paper,409.93,,,21.14,56.59
M-1282,Bamboo,304.4,80.84,0.53,,64.22
M-0222,Glass,471.57,96.58,0.54,16.33,60.17
M-0486,Wood,215.84,79.59,0.32,34.45,47.34
M-0002,Paper,472.92,91.41,0.91,48.37,55.79
M-0705,Steel,63.67,92.49,0.87,3.2,87.13
M-0359,Aluminum,363.21,72.16,0.89,23.0,88.15
M-1342,Cotton,484.01,21.67,0.05,15.78,44.33
M-0387,Glass,433.04,96.77,0.73,29.8,86.69
M-0190,Wood,,19.64,0.42,42.35,31.0
M-1028,Glass,246.92,51.08,0.31,18.86,80.33
M-0424,Glass,166.91,23.93,0.53,16.39,74.97
M-0704,Cotton,306.77,48.86,0.8,31.2,
M-0471,Steel,477.89,90.36,0.31,6.13,94.61
M-0831,Steel,154.38,74.97,0.93,22.92,67.18
M-1193,Steel,403.2,25.11,0.85,36.42,
M-1443,Paper,351.83,78.65,0.77,34.17,33.5
M-1366,Wood,118.45,13.27,0.63,36.7,28.05
M-0994,Paper,54.96,71.16,0.99,37.28,30.12
M-1453,Cotton,240.15,35.17,0.64,19.57,93.69
M-1219,Steel,200.53,84.55,0.96,46.77,
M-0971,Cotton,114.01,53.92,0.35,40.12,55.41
M-0067,Paper,316.07,31.1,0.36,14.66,23.56
M-1363,Aluminum,132.9,40.58,0.6,13.14,97.37
M-0289,Aluminum,79.41,76.58,0.66,26.88,53.77
M-0862,Aluminum,342.89,27.99,0.06,19.44,17.88
