Product_ID,Product_Name,Category,Avg_Weight_g,Fragility_Score,Dimension_L_cm,Dimension_W_cm,Dimension_H_cm
111,Product_111,Cosmetics,470.14,0.44,32.6,39.21,18.53
171,Product_171,Cosmetics,1032.47,0.1,28.13,9.98,20.58
97,Product_097,Books,807.96,0.77,31.26,17.99,10.21
1,Product_001,Cosmetics,593.08,0.64,9.64,12.6,21.8
33,Product_033,Glassware,144.32,0.58,32.82,28.03,5.94
69,Product_069,Apparel,158.1,0.36,15.06,13.4,26.13
60,Product_060,Electronics,521.73,0.1,10.35,30.69,3.84
2,Product_002,Books,1428.54,0.08,45.61,17.54,6.27
40,Product_040,Glassware,688.22,0.18,8.66,21.98,19.7
51,Product_051,Food,1455.9,0.29,39.97,8.91,3.88
31,Product_031,Toys,930.94,0.79,11.43,37.1,8.29
155,Product_155,Electronics,1479.19,0.07,44.45,11.27,13.73
99,Product_099,Electronics,86.86,0.62,48.85,11.95,2.36
22,Product_022,Furniture,252.27,0.57,40.53,14.42,2.13
87,Product_087,Cosmetics,1107.93,0.47,7.05,30.72,20.28
19,Product_019,Apparel,676.32,0.65,35.26,41.28,3.53
138,Product_138,Glassware,1069.38,0.7,16.13,41.75,27.6
64,Product_064,Electronics,567.29,0.52,31.25,15.68,14.34
21,Product_021,Furniture,937.19,0.66,40.62,13.3,24.48
23,Product_023,Cosmetics,473.61,0.09,9.1,21.67,11.34
58,Product_058,Electronics,334.18,0.7,26.09,21.34,15.22
177,Product_177,Furniture,1051.86,0.84,11.62,15.32,18.66
104,Product_104,Furniture,787.43,0.64,41.62,11.05,18.33
132,Product_132,Food,372.06,0.76,49.99,41.66,25.38
172,Product_172,Electronics,74.05,0.02,40.26,43.09,28.23
133,Product_133,Toys,223.8,0.01,49.85,34.93,29.56
36,Product_036,Toys,1222.18,0.72,36.54,25.13,13.73
27,Product_027,Furniture,339.53,0.97,24.87,25.81,11.7
195,Product_195,Apparel,541.59,0.34,45.36,5.81,12.11
76,Product_076,Apparel,1107.06,0.5,49.68,49.21,6.37
85,Product_085,Apparel,500.92,0.58,31.29,46.82,24.4
144,Product_144,Food,486.27,0.43,35.23,27.62,25.23
166,Product_166,Food,1261.19,0.39,31.55,30.65,11.96
113,Product_113,Cosmetics,1398.06,0.03,46.97,26.22,19.48
148,Product_148,Glassware,778.88,0.05,35.22,29.46,27.2
197,Product_197,Toys,1102.64,0.86,35.04,46.95,27.68
42,Product_042,Glassware,768.01,0.95,49.4,19.49,20.58
107,Product_107,Books,645.06,0.52,45.99,19.51,24.89
44,Product_044,Electronics,1368.51,0.37,21.68,19.74,28.91
130,Product_130,Cosmetics,790.58,0.25,43.91,12.36,9.22
66,Product_066,Apparel,836.91,0.74,21.87,11.88,17.67
188,Product_188,Apparel,855.04,0.18,10.8,23.04,14.18
185,Product_185,Electronics,424.02,0.74,33.5,13.17,22.39
