Material_ID,Material_Type,Strength,Weight_Capacity,Biodegradability_Score,CO2_Emission_Score,Recyclability_Percent,Type_Aluminum,Type_Bamboo,Type_Cotton,Type_Glass,Type_Paper,Type_Plastic,Type_Steel,Type_Unknown,Type_Wood,Strength_norm,Weight_Capacity_norm,Biodegradability_Score_norm,CO2_Emission_Score_norm,Recyclability_Percent_norm,CO2_Impact_Index,CO2_Impact_Index_norm,Cost_Efficiency_Index,Cost_Efficiency_Index_norm
M-0141,Cotton,375.02,40.58,0.75,7.83,46.06,False,False,True,False,False,False,False,False,False,0.7217872359410202,0.37468407750631844,0.75,0.13612136121361212,0.4608608608608609,0.2105867306420812,0.15487565418576993,0.5623249957573795,0.5776042129085469
M-0832,Steel,225.91,88.88,0.3,48.31,39.43,False,False,False,False,False,False,True,False,False,0.3891677262486337,0.8833192923336142,0.3,0.965969659696597,0.39449449449449453,0.8501323463685088,0.8599119284633714,0.527672389433026,0.5374447297108983
M-0186,Steel,172.54,42.0,0.55,37.24,47.52,False,False,False,False,False,False,True,False,False,0.27011532713199043,0.3896377422072451,0.55,0.7390323903239032,0.47547547547547553,0.6308718866467944,0.6181987905459071,0.3521054303314372,0.3339772537552046
M-0754,Plastic,203.56,64.36,0.01,31.04,12.98,False,False,False,False,False,True,False,False,False,0.339311606326262,0.6251053074978938,0.01,0.611931119311193,0.12972972972972974,0.7511856986137428,0.750832960255544,0.4022987538532812,0.39214713320790806
M-0932,Paper,489.02,32.47,0.25,11.3,52.99,False,False,False,False,True,False,False,False,False,0.9760869080282852,0.28927969671440606,0.25,0.20725707257072573,0.5302302302302303,0.3963312205194124,0.359640724714727,0.6281986504489154,0.653946289576334
M-0091,Cotton,55.89,76.36,0.53,40.72,47.71,False,False,True,False,False,False,False,False,False,0.00990430301813558,0.7514743049705139,0.53,0.8103731037310373,0.4773773773773774,0.6794861245008846,0.6717912166226021,0.38092067789839906,0.36737172456844946
M-1051,Plastic,480.43,46.18,0.12,39.36,3.78,False,False,False,False,False,True,False,False,False,0.9569252046666221,0.4336562763268745,0.12,0.7824928249282492,0.03763763763763763,0.8297319311931858,0.8374224728948441,0.5159817633824264,0.5238962682747063
M-0092,Paper,348.59,11.75,0.03,47.47,16.7,False,False,False,False,True,False,False,False,False,0.662829864596578,0.07108256107834877,0.03,0.9487494874948749,0.16696696696696695,0.9435529958002282,0.9628990258592637,0.2953877936301302,0.2682462389854527
M-1180,Glass,79.18,60.76,0.92,29.95,16.88,False,False,False,True,False,False,False,False,False,0.061857279885788236,0.5871946082561078,0.92,0.5895858958589586,0.16876876876876876,0.46087466063849825,0.4307935329455088,0.3019633250175215,0.27586673193757927
M-0620,Glass,156.89,38.54,0.18,29.83,90.09,False,False,False,True,False,False,False,False,False,0.23520488969194042,0.353201347935973,0.18,0.5871258712587125,0.9016016016016016,0.6081153625950673,0.5931119561772366,0.4275499163642188,0.42141112642928985
