Material_ID,Material_Type,Strength,Weight_Capacity,Biodegradability_Score,CO2_Emission_Score,Recyclability_Percent,Material_Type_Aluminum,Material_Type_Bamboo,Material_Type_Cotton,Material_Type_Glass,Material_Type_Paper,Material_Type_Plastic,Material_Type_Steel,Material_Type_Wood,CO2_Impact_Index,Cost_Efficiency_Index,Material_Suitability_Score
M-0141,Cotton,0.7217872359410202,0.37468407750631844,0.75,0.13612136121361212,0.4608608608608609,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.07338835350315465,1.926383726688044,0.6519731526346664
M-0832,Steel,0.3891677262486337,0.8833192923336142,0.3,0.965969659696597,0.39449449449449453,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.584899947097569,0.4405737416271787,0.36401543884780185
M-0186,Steel,0.27011532713199043,0.3896377422072451,0.55,0.7390323903239032,0.47547547547547553,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.38764061314286813,0.6932455576717745,0.4156887734954388
M-0754,Plastic,0.339311606326262,0.6251053074978938,0.01,0.611931119311193,0.12972972972972974,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.532545460589741,0.5428062431243429,0.17764356144942373
M-0932,Paper,0.9760869080282852,0.28927969671440606,0.25,0.20725707257072573,0.5302302302302303,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.09736310726470628,3.3741861075228687,0.6245038322803832
M-0091,Cotton,0.00990430301813558,0.7514743049705139,0.53,0.8103731037310373,0.4773773773773774,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4235193167747493,0.013179811701895115,0.30617493442046745
M-1051,Plastic,0.9569252046666221,0.4336562763268745,0.12,0.7824928249282492,0.03763763763763763,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.7530416435295484,2.2066393368788493,0.43006137315794013
M-0092,Paper,0.662829864596578,0.07108256107834877,0.03,0.9487494874948749,0.16696696696696695,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7903396631563914,9.324657551497772,0.3242220359287213
M-1180,Glass,0.061857279885788236,0.5871946082561078,0.92,0.5895858958589586,0.16876876876876876,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4900822101314106,0.10534356697505974,0.3513735425849459
M-0620,Glass,0.23520488969194042,0.353201347935973,0.18,0.5871258712587125,0.9016016016016016,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.057772245390121546,0.6659210819702064,0.41856243635725665
M-1061,Aluminum,0.6595953512235383,0.7230412805391744,0.17,0.3595735957359574,0.2231231231231231,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27934441206273924,0.9122500426001041,0.38177507742635225
M-0174,Paper,0.7996609337705503,0.49189132266217356,0.5,0.4089790897908979,0.5662662662662663,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.17738802763403008,1.6256828922287307,0.6397442533880999
