product_id,category,avg_weight_g,fragility_score,dimension_l_cm,dimension_w_cm,dimension_h_cm
1,Electronics,450,0.9,20,15,5
2,Food,120,0.3,10,10,6
3,Cosmetics,80,0.6,9,5,4
4,Books,700,0.1,25,20,3
5,Glassware,1200,1.0,30,25,20
6,Electronics,900,0.8,35,25,10
7,Food,500,0.2,18,12,8
8,Cosmetics,150,0.5,12,6,5
9,Medical,300,0.7,15,10,6
10,Furniture,8000,0.4,100,60,40
11,Electronics,250,0.6,14,10,4
12,Food,1000,0.3,22,18,12
13,Glassware,600,0.9,20,15,15
14,Books,400,0.1,22,16,3
15,Decor,350,0.8,18,14,10
16,Medical,150,0.7,10,8,5
17,Tools,2000,0.2,40,25,15
18,Electronics,1100,0.85,28,20,12
19,Cosmetics,60,0.4,7,4,3
20,Food,2000,0.25,30,20,15
21,Glassware,900,0.95,26,18,18
22,Furniture,12000,0.3,120,80,60
23,Medical,500,0.6,16,12,8
24,Decor,700,0.75,22,18,14
25,Tools,3500,0.2,50,35,25
