timestamp,weight,volume,fragility,best_material,best_price_inr,best_cost_index,best_eco_score
2026-01-19 00:18:47,120.0,120.0,2,MAT09069,0.01,0.261,59.86
2026-01-19 00:23:48,1423.0,120.0,5,MAT06155,0.01,0.549,59.99
2026-01-19 00:36:23,654.0,9.0,3,MAT09069,0.01,0.261,59.86
2026-01-19 00:42:45,1234.0,12.0,1,MAT04453,0.0,0.06,59.75
2026-01-19 00:47:16,3.0,3.0,3,MAT09069,0.01,0.261,59.86
2026-01-19 21:11:13,123.0,12.0,1,MAT04453,0.0,0.06,59.75
2026-01-19 21:14:41,12345677.0,1234.0,4,MAT06155,0.01,0.549,59.99
2026-01-19 21:14:53,1234567745.0,12343.0,4,MAT06155,0.01,0.549,59.99
2026-01-19 21:14:55,1234567745.0,12343.0,4,MAT06155,0.01,0.549,59.99
2026-01-19 21:14:55,1234567745.0,12343.0,4,MAT06155,0.01,0.549,59.99
2026-01-19 21:14:56,1234567745.0,12343.0,4,MAT06155,0.01,0.549,59.99
2026-01-19 21:14:56,1234567745.0,12343.0,4,MAT06155,0.01,0.549,59.99
2026-01-19 21:14:56,1234567745.0,12343.0,4,MAT06155,0.01,0.549,59.99
2026-01-19 21:14:56,1234567745.0,12343.0,4,MAT06155,0.01,0.549,59.99
2026-01-19 21:15:13,10928.0,150.0,1,MAT04453,0.0,0.06,59.75
2026-01-19 21:15:41,1.1108927057237018e+18,15089498327.0,2,MAT09069,0.01,0.261,59.86
2026-01-19 21:24:40,562398542974275.0,419874.0,1,MAT04453,0.0,0.06,59.75
2026-01-19 21:40:27,875664567.0,12.0,4,MAT06155,0.01,0.549,59.99
2026-01-19 22:02:34,2351212.0,12.0,1,MAT04453,0.0,0.06,59.75
2026-01-19 22:12:53,23456.0,22.0,2,MAT09069,0.01,0.261,59.86
2026-01-20 13:59:28,50.0,50.0,2,MAT09069,0.01,0.261,59.86
