Material_ID,Strength_MPa,Weight_Capacity_kg,Biodegradability_Score,CO2_Emission_Score_kg,Recyclability_Percentage,Source,Certification,Price_INR,Material_Type_Bio-based Polymer,Material_Type_Biodegradable Plastic,Material_Type_Bioplastic,Material_Type_Cardboard,Material_Type_Cellulose,Material_Type_Certified Wood,Material_Type_Cork,Material_Type_Cork Composite,Material_Type_Corn Plastic,Material_Type_Flax Fiber,Material_Type_Hemp Fiber,Material_Type_Jute,Material_Type_Linen,Material_Type_Mushroom Composite,Material_Type_Mycelium Leather,Material_Type_Natural Rubber,Material_Type_Organic Cotton,Material_Type_Recycled Aluminum,Material_Type_Recycled Copper,Material_Type_Recycled Glass,Material_Type_Recycled Metal,Material_Type_Recycled PET,Material_Type_Recycled Paper,Material_Type_Seaweed Polymer,Material_Type_Sustainable Bamboo,Material_Type_Wool,Product_Category_Adhesives,Product_Category_Automotive,Product_Category_Bags & Luggage,Product_Category_Coatings,Product_Category_Construction,Product_Category_Cosmetics,Product_Category_Electronics,Product_Category_Flooring,Product_Category_Food Packaging,Product_Category_Footwear,Product_Category_Furniture,Product_Category_Home Decor,Product_Category_Household Items,Product_Category_Insulation,Product_Category_Kitchen Utensils,Product_Category_Office Supplies,Product_Category_Sports Equipment,Product_Category_Textiles,Product_Category_Toys,Availability_Status_Low Stock,Availability_Status_Pre-Order,CO2_Impact_Index,Cost_Efficiency_Index,Material_Suitability_Score
MAT00001,0.02492091029696909,0.2750328382338082,0.22375,0.736551724137931,0.677,Supplier A,EcoCert,0.8924551896623593,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0.5758538522637013,0.35773634361233486,0.28019336411878765
MAT00002,0.09360138789672416,0.23259573608164089,0.6025,0.5613793103448277,0.716,Supplier D,FSC,0.7015423092955398,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.6404593639575972,0.4207947084762371,0.43299055515868967
MAT00003,0.809409123379937,0.006365565322825097,0.8062500000000001,0.6979310344827586,0.34,Supplier C,ISO 14001,0.15548145060441848,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.5889520714865963,0.2942496392496393,0.6676386493519748
MAT00004,0.3589141749158078,0.3439426088713751,0.265,0.04344827586206895,0.459,Supplier D,ISO 14001,0.12484368486869526,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0.9583608724388633,0.4080566981656476,0.3607656699663231
MAT00005,0.885437289519339,0.3616247347681115,0.1925,0.0696551724137931,0.6609999999999999,Supplier A,FSC,0.7734472696957065,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9348807221147647,0.37272041367963327,0.6102249158077355
MAT00006,0.453352382896214,0.8342932201677274,0.16250000000000003,0.35517241379310344,0.67,Supplier A,EcoCert,0.7021675698207587,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,0.7379134860050891,0.3936157707848659,0.43109095315848567
MAT00007,0.7290948055924075,0.16338284328584418,0.38,0.9896551724137931,0.64,Supplier C,ISO 14001,0.5571071279699875,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.5025996533795494,0.4110186052737251,0.597637922236963
MAT00008,0.8050209205020923,0.40123269677680096,0.06625000000000003,0.9131034482758621,0.5670000000000001,Supplier B,Unknown,0.7182159233013755,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,0.5227108868060562,0.3299934497816594,0.511983368200837
MAT00009,0.14279008062047152,0.13953723350510255,0.745,0.5393103448275862,0.747,Supplier E,Cradle to Cradle,0.4285118799499792,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,0.6496415770609318,0.5229217974905165,0.5047160322481886
MAT00010,0.509480559240739,0.09083560674952006,0.04750000000000004,0.10965517241379309,0.627,Supplier D,EcoCert,0.7924135056273447,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9011808576755749,0.34980767441860466,0.4061422236962956
