id,strength,weight_capacity,biodegradability,co2_emission,recyclability,material_type_Bamboo Fiber,material_type_Biodegradable Polymer,material_type_Cork Material,material_type_Glass (Recycled),material_type_Mycelium Packaging,material_type_PLA Bioplastic,material_type_Paper Pulp Composite,material_type_Recycled PET,material_type_Sugarcane Bioplastic
1,149.61,4.67,0.3,3.0,46.53,False,False,False,False,False,False,False,False,False
2,36.08,1.76,0.52,1.64,59.34,False,False,False,False,False,False,False,True,False
3,83.44,2.25,0.38,1.63,93.98,True,False,False,False,False,False,False,False,False
4,88.22,0.74,0.36,2.41,97.78,False,False,True,False,False,False,False,False,False
5,82.54,4.33,0.86,2.5,49.11,False,False,False,False,False,False,True,False,False
6,103.87,2.99,0.74,1.26,43.83,False,False,False,False,True,False,False,False,False
7,54.17,3.45,0.87,0.1,82.51,False,False,False,False,False,True,False,False,False
8,114.74,1.44,0.83,0.35,61.35,False,True,False,False,False,False,False,False,False
9,23.46,4.52,0.3,1.6,35.85,False,False,False,False,True,False,False,False,False
10,39.63,1.36,0.59,0.21,70.19,False,False,False,False,False,False,True,False,False
11,143.91,1.34,0.38,1.62,96.5,False,False,False,False,False,False,False,False,True
12,85.68,3.84,0.24,0.46,85.47,False,False,False,False,False,False,False,False,True
13,133.64,2.73,0.56,2.68,56.43,False,False,False,False,False,False,False,False,False
14,33.15,4.64,0.48,2.26,80.82,False,False,True,False,False,False,False,False,False
15,106.63,3.26,0.48,2.3,54.96,False,False,True,False,False,False,False,False,False
16,69.93,4.83,0.73,1.88,38.03,False,False,False,False,False,False,False,True,False
17,18.97,1.81,0.95,1.17,83.4,False,False,True,False,False,False,False,False,False
18,90.32,0.06,0.69,1.01,66.89,False,False,True,False,False,False,False,False,False
19,109.27,2.38,0.81,1.43,48.83,False,False,False,False,False,False,False,False,False
20,106.73,4.99,0.34,0.45,95.28,False,False,False,False,False,True,False,False,False
21,75.0,1.19,0.61,0.67,33.45,False,False,False,True,False,False,False,False,False
22,27.4,0.15,0.22,0.13,47.23,True,False,False,False,False,False,False,False,False
23,50.42,1.2,0.97,0.87,46.35,False,False,False,False,False,False,False,True,False
24,89.81,2.12,0.49,2.45,50.28,False,False,False,False,False,False,False,False,True
25,95.81,2.16,0.8,1.31,59.99,False,False,False,False,False,False,False,True,False
26,16.24,0.58,0.38,2.15,69.18,False,False,False,False,False,True,False,False,False
27,20.08,4.84,0.65,0.65,47.66,False,False,False,False,False,False,False,False,True
28,32.63,4.7,0.5,0.2,81.87,False,False,False,False,False,False,False,False,True
29,79.13,3.12,0.86,0.51,31.3,False,False,False,False,False,False,False,False,True
30,15.56,4.08,0.81,1.39,67.23,False,False,False,False,False,False,True,False,False
31,91.16,1.93,0.64,2.25,76.85,True,False,False,False,False,False,False,False,False
32,28.52,3.83,0.37,0.27,36.68,False,False,True,False,False,False,False,False,False
33,19.32,1.34,0.84,0.62,74.76,False,False,False,False,False,False,True,False,False
34,127.55,3.14,0.46,2.2,66.59,False,True,False,False,False,False,False,False,False
35,140.48,0.12,0.39,1.87,96.43,False,False,False,False,False,False,False,False,False
36,11.12,4.64,0.44,0.54,31.69,False,False,False,False,True,False,False,False,False
37,139.67,4.6,0.52,2.89,42.18,False,False,False,False,False,False,True,False,False
38,20.99,3.48,0.21,1.41,97.29,False,False,True,False,False,False,False,False,False
39,12.1,0.92,0.47,0.44,86.66,False,False,False,False,False,False,False,True,False
40,49.41,1.81,0.92,0.76,31.67,True,False,False,False,False,False,False,False,False
41,74.38,2.75,0.84,0.89,64.32,False,False,False,True,False,False,False,False,False
42,12.17,2.99,0.55,2.43,52.07,False,False,False,True,False,False,False,False,False
43,124.11,2.74,0.35,1.79,33.37,False,False,False,False,True,False,False,False,False
44,68.83,3.41,0.93,0.05,98.37,False,False,False,False,True,False,False,False,False
45,45.66,0.46,0.33,0.67,59.22,False,False,False,False,False,False,False,True,False
46,49.98,2.95,0.8,2.58,82.86,True,False,False,False,False,False,False,False,False
47,131.03,1.65,0.74,1.38,56.75,False,False,False,False,False,False,False,False,True
48,97.07,2.18,0.98,2.05,43.9,False,False,False,False,False,True,False,False,False
49,58.07,4.0,0.9,2.72,76.39,False,False,False,False,False,False,True,False,False
50,51.83,2.73,0.89,0.6,35.85,False,False,False,False,False,False,False,True,False
51,82.66,3.87,0.66,1.42,53.99,False,False,False,False,False,False,False,False,False
52,118.2,3.54,0.39,0.18,49.69,False,False,True,False,False,False,False,False,False
53,132.49,3.46,0.66,0.52,62.68,False,True,False,False,False,False,False,False,False
54,128.58,4.2,0.31,1.64,62.7,False,False,False,False,True,False,False,False,False
55,71.72,2.43,0.47,0.08,65.38,False,False,True,False,False,False,False,False,False
56,17.76,0.83,0.68,0.99,92.34,False,True,False,False,False,False,False,False,False
57,40.45,1.04,0.74,0.51,65.73,False,True,False,False,False,False,False,False,False
58,115.21,1.15,0.62,2.37,31.56,False,False,False,False,False,False,False,False,False
59,65.01,0.45,0.48,0.05,73.72,False,False,False,False,False,True,False,False,False
60,125.7,4.28,0.28,1.97,79.25,True,False,False,False,False,False,False,False,False
61,121.95,0.22,0.82,2.21,48.18,False,False,False,False,False,False,False,False,False
62,41.7,3.38,0.82,1.56,73.07,False,False,False,False,False,False,False,False,False
63,148.67,1.54,0.31,2.71,67.91,False,False,False,False,False,False,False,False,True
64,145.25,1.06,0.99,1.99,86.64,False,False,False,False,False,False,False,False,False
65,84.75,2.91,0.93,0.98,80.83,True,False,False,False,False,False,False,False,False
66,36.41,2.24,0.67,2.97,44.27,False,False,False,False,False,False,False,True,False
67,41.55,3.25,0.94,0.64,91.59,False,False,False,False,False,False,True,False,False
68,39.67,4.0,0.44,0.13,71.54,False,False,False,True,False,False,False,False,False
69,33.2,2.54,0.83,2.72,45.37,False,False,False,False,False,False,False,True,False
70,122.55,0.21,0.77,1.42,96.33,False,True,False,False,False,False,False,False,False
71,80.8,3.49,0.57,1.12,87.12,False,False,False,False,False,False,True,False,False
