material_id,material_name,material_type,strength_kg,weight_g_per_m2,biodegradability_score,co2_emission_kg_per_kg,recyclability_percent,cost_kg,water_resistance_score,predicted_cost,predicted_co2,final_score,Rank
1,Kraft_Paper,Paper,120,190,0.9,0.7,80,0.12,0.3,0.5449999999999995,0.7636067150960618,207.0,90.0
2,Corrugated_Carton,Paper,300,200,0.85,0.9,70,0.2,0.4,0.16810000000000017,0.8235452123879579,110.0,45.0
3,Molded_Pulp,Pulp,200,350,0.95,0.4,90,0.18,0.2,0.22359999999999983,0.21945927618176203,71.0,25.0
4,PLA_Bioplastic,Plastic,110,30,0.6,1.5,50,0.25,0.5,0.15560000000000018,0.1316558610550778,7.0,2.0
5,Recycled_PE_Film,Plastic,70,40,0.5,1.3,60,0.15,0.4,0.20329999999999973,0.16271578584809798,26.0,6.0
6,Bamboo_Fiber,Pulp,250,220,0.92,0.6,85,0.22,0.4,0.499,0.5556054025622535,186.0,82.0
7,Sugarcane_Bagasse,Pulp,180,300,0.95,0.5,90,0.17,0.2,0.17829999999999996,0.133488614947974,15.0,5.0
8,Jute_Fiber,Textile,150,350,0.88,0.8,75,0.16,0.4,0.2935000000000004,0.2712237225281325,117.5,50.0
9,Hemp_Fiber,Textile,170,330,0.9,0.7,80,0.18,0.5,0.18729999999999974,0.6173239396607978,102.0,41.0
10,Starch_Bioplastic,Plastic,90,50,0.85,1.2,60,0.21,0.3,0.2866000000000003,0.24225365296339302,112.0,47.0
11,Cornstarch_Packaging,Compostable,80,40,0.95,0.7,65,0.23,0.3,0.49300000000000016,0.6169837587357013,190.0,83.0
12,Mushroom_Packaging,Compostable,140,250,0.98,0.3,95,0.3,0.2,0.8010000000000006,1.1143675465629221,232.0,99.0
13,Recycled_Paper_Board,Paper,200,250,0.8,0.9,85,0.14,0.3,0.46600000000000036,0.5751454337903207,185.0,81.0
14,Recycled_PET_Sheet,Plastic,250,180,0.5,1.4,60,0.19,0.5,0.2044999999999997,0.18587306851432442,33.5,8.0
15,Bubble_Wrap_Alternative,Paper,40,60,0.9,0.5,75,0.1,0.1,0.27060000000000034,0.28509557368466715,120.0,52.0
16,Coconut_Coir_Packaging,Biofiber,130,300,0.92,0.6,80,0.2,0.2,0.3149000000000002,0.27948995086341505,135.0,60.0
17,Seaweed_BioWrap,Compostable,50,25,0.99,0.2,70,0.35,0.2,0.5264999999999996,0.5676711946525089,190.0,83.0
18,Air_Paper_Pods,Paper,60,70,0.85,0.4,80,0.18,0.1,0.22440000000000032,1.2014271415347175,151.0,65.0
19,Duplex_Board,Paper,260,210,0.75,1.0,70,0.19,0.3,0.29219999999999974,0.2741779936517916,119.0,51.0
20,PaperFoam,Compostable,100,150,0.97,0.3,85,0.28,0.2,0.2816,0.23379075962858992,108.0,43.0
21,Bagasse_Plates,Fiber,180,120,0.92,0.3,85,0.28,0.4,0.2761999999999999,0.34882349951902436,132.0,59.0
22,Wheat_Straw_Board,Composite,220,140,0.88,0.4,80,0.32,0.5,0.30090000000000044,0.27472328246004896,125.0,55.0
23,Pine_Wood_Thin,Wood,300,250,0.7,0.6,65,0.5,0.6,0.5683000000000009,0.7852578752358924,215.0,92.0
24,Bamboo_Board,Wood,350,280,0.75,0.5,70,0.55,0.7,0.5720000000000004,0.8215782689443301,218.0,93.0
25,Recycled_Cotton_Fiber,Textile,150,110,0.94,0.25,90,0.22,0.3,0.2999000000000003,0.23896868060212106,116.0,49.0
26,Jute_Composite,Fiber,200,140,0.89,0.35,88,0.27,0.4,0.21719999999999998,0.6266040325632549,122.0,53.0
27,PLA_Corn_Based,Plastic,280,95,0.97,0.2,60,0.45,0.5,0.22099999999999995,0.1823796749867109,46.0,16.0
28,Algae_Bioplastic,Plastic,260,90,0.98,0.15,55,0.42,0.4,0.2786999999999998,0.3226369606761299,130.0,58.0
29,Recycled_HDPE,Plastic,400,110,0.4,0.8,75,0.6,0.8,0.8710000000000007,1.4937298172072757,244.0,101.0
30,Recycled_LDPE,Plastic,350,100,0.45,0.75,70,0.55,0.7,0.39030000000000065,0.4754543441121091,170.0,75.0
31,Honeycomb_Paper,Fiber,180,85,0.93,0.28,82,0.26,0.5,0.2087000000000001,0.1833405361778332,34.0,9.0
