material_name,Predicted_Cost_Index,Predicted_CO2_Index,Final_Rank_Score,Rank
Molded Pulp,-1.3755084088787806,-0.89727885,-2.2727872541889917,1.0
Kraft Paper,-1.205214817030127,-0.4420736,-1.6472884304353546,2.0
Virgin Cardboard,-0.2007726495564967,-1.1089499,-1.3097225492299587,3.0
Starch-based Foam,-0.5318519567808917,-0.45812625,-0.9899782037100604,4.0
Palm Leaf,-0.5746168803122917,0.2756467,-0.29897019375833667,5.0
rPET,0.9483123638856185,-1.0804644,-0.13215199921252607,6.0
Bagasse,1.133599671726084,-1.2615263,-0.12792667448058115,7.0
Bamboo Fiber,1.1642984843954616,-1.2342517,-0.06995325319914292,8.0
Recycled Cardboard,1.506855645376373,-1.2438251,0.263030567365814,9.0
PHA,0.22155491101224725,0.4845272,0.7060821114726812,10.0
rHDPE,1.401420819510559,0.080797374,1.4822181937590637,11.0
PLA,0.679560949050575,0.99587256,1.6754335062138135,12.0
Mycelium Packaging,0.4215076052972666,2.0648508,2.486358412487208,13.0
