MATERIAL_ID,MATERIAL_TYPE,STRENGTH,WEIGHT_CAPACITY,BIODEGRADABILITY_SCORE,Co2_EMISSION_SCORE,RECYCLABILITY_PERCENTAGE,INDUSTRY_CATEGORY
1,Bioplastic-PHB,90,43,38,86,24,Cosmetics
2,Glass (Lightweight),74,16,74,69,26,Cosmetics
3,Bioplastic-PHB,82,12,3,23,5,Food & Beverage
4,Recycled PET,67,26,47,85,99,Logistics
5,Aluminum (Recycled),108,42,43,78,62,Logistics
6,Seaweed-Based Film,66,25,38,84,89,Electronics
7,Glass (Lightweight),72,59,82,66,66,Pharmaceutical
8,Compostable Starch Polymer,59,50,96,60,33,Electronics
9,Recycled Paperboard,86,36,27,88,70,Cosmetics
10,Seaweed-Based Film,95,7,70,80,65,Pharmaceutical
11,Recycled Cardboard,69,45,49,45,79,Retail
12,Hemp Fiber,91,34,76,86,26,Pharmaceutical
13,Glass (Lightweight),103,54,18,84,85,Logistics
14,Recycled PET,93,38,41,95,32,Electronics
15,Recycled PET,68,50,59,56,67,Logistics
16,Compostable Starch Polymer,84,46,23,68,57,Food & Beverage
17,Palm Leaf,81,23,15,10,94,Cosmetics
18,Recycled Cardboard,66,6,68,34,61,Electronics
19,Bamboo Composite,59,17,3,20,44,Cosmetics
20,Mushroom Mycelium Material,116,55,54,100,31,Logistics
21,Seaweed-Based Film,53,19,69,38,0,Pharmaceutical
22,Recycled Cardboard,68,45,42,63,90,Retail
23,Bamboo Composite,53,54,15,24,13,Cosmetics
24,Recycled PET,92,39,100,47,86,Food & Beverage
25,Hemp Fiber,116,40,87,19,94,Cosmetics
26,Recycled HDPE,52,44,51,63,65,Pharmaceutical
27,Recycled Cardboard,96,41,52,72,77,Food & Beverage
28,Bamboo Composite,98,5,63,99,75,Electronics
29,Bioplastic-PHB,89,48,52,38,68,Electronics
30,Aluminum (Recycled),114,44,64,52,13,Cosmetics
31,Aluminum (Recycled),75,20,14,11,26,Cosmetics
32,Palm Leaf,67,40,86,76,2,Electronics
33,Bamboo Composite,88,24,5,81,86,Food & Beverage
34,Glass (Lightweight),80,56,22,49,19,Retail
35,Bioplastic-PHB,78,52,1,81,2,Cosmetics
36,Bioplastic-PHB,100,7,84,8,33,Pharmaceutical
37,Recycled PET,57,49,18,39,76,Electronics
38,Seaweed-Based Film,104,41,51,57,63,Pharmaceutical
39,Bioplastic-PHB,70,21,14,77,62,Retail
40,Bamboo Composite,78,5,83,51,14,Retail
41,Glass (Lightweight),116,23,52,44,34,Retail
42,Recycled PET,66,37,73,65,72,Logistics
43,Seaweed-Based Film,76,31,75,32,91,Pharmaceutical
44,Palm Leaf,119,56,54,36,56,Retail
45,Glass (Lightweight),58,53,33,48,32,Electronics
46,Bamboo Composite,66,21,37,33,49,Food & Beverage
47,Aluminum (Recycled),106,13,100,27,97,Pharmaceutical
48,Recycled Cardboard,116,7,98,85,40,Cosmetics
49,Recycled Cardboard,81,53,33,46,77,Logistics
50,Recycled Cardboard,42,3,74,2,77,Cosmetics
51,Recycled Cardboard,111,21,15,25,68,Electronics
52,Glass (Lightweight),80,13,58,65,7,Pharmaceutical
53,Glass (Lightweight),105,42,96,93,47,Cosmetics
54,Glass (Lightweight),67,50,61,89,83,Logistics
55,Palm Leaf,98,10,20,84,65,Food & Beverage
56,Aluminum (Recycled),64,12,11,85,40,Retail
57,Bioplastic-PHB,50,22,78,13,32,Cosmetics
58,Aluminum (Recycled),85,40,3,64,34,Logistics
59,Palm Leaf,46,45,18,57,72,Food & Beverage
60,Palm Leaf,93,43,22,64,61,Retail
61,Bioplastic-PHB,106,24,79,34,18,Electronics
62,Aluminum (Recycled),44,35,7,2,54,Retail
63,Bioplastic-PHB,49,17,87,16,18,Pharmaceutical
64,Compostable Starch Polymer,69,13,72,88,84,Food & Beverage
65,Palm Leaf,105,46,10,18,16,Cosmetics
66,Bioplastic-PHB,99,3,73,71,59,Retail
67,Aluminum (Recycled),79,24,18,43,42,Electronics
68,Bioplastic-PHB,95,16,79,79,60,Food & Beverage
69,Recycled Cardboard,109,55,60,13,37,Food & Beverage
70,Glass (Lightweight),99,22,73,42,30,Logistics
71,Palm Leaf,68,47,88,61,80,Food & Beverage
72,Palm Leaf,83,4,58,33,2,Logistics
73,Seaweed-Based Film,69,19,99,57,89,Food & Beverage
74,Aluminum (Recycled),111,39,71,19,29,Retail
75,Compostable Starch Polymer,87,1,25,50,84,Food & Beverage
76,Glass (Lightweight),63,10,91,31,36,Retail
77,Bamboo Composite,51,36,75,4,31,Retail
78,Recycled HDPE,59,55,7,89,68,Logistics
79,Seaweed-Based Film,70,15,88,31,19,Food & Beverage
80,Palm Leaf,71,30,34,9,68,Electronics
81,Glass (Lightweight),110,13,43,22,59,Cosmetics
82,Recycled Cardboard,62,54,8,37,78,Logistics
83,Glass (Lightweight),53,5,49,44,56,Logistics
84,Bioplastic-PHB,40,48,17,89,76,Cosmetics
85,Aluminum (Recycled),50,48,92,32,80,Logistics
86,Bioplastic-PHB,45,5,38,22,15,Retail
87,Bioplastic-PHB,63,11,80,51,81,Pharmaceutical
88,Recycled PET,77,13,46,18,74,Cosmetics
89,Palm Leaf,83,12,66,2,52,Cosmetics
90,Glass (Lightweight),84,3,20,93,11,Food & Beverage
91,Aluminum (Recycled),54,11,86,80,99,Retail
92,Glass (Lightweight),110,10,69,17,14,Food & Beverage
93,Recycled HDPE,97,31,12,73,78,Electronics
94,Palm Leaf,71,52,3,16,18,Pharmaceutical
95,Bioplastic-PLA,41,18,78,96,92,Cosmetics
96,Bamboo Composite,97,51,77,41,52,Pharmaceutical
97,Aluminum (Recycled),55,30,98,68,74,Cosmetics
98,Hemp Fiber,84,18,76,56,17,Food & Beverage
99,Seaweed-Based Film,83,42,21,43,2,Electronics
100,Glass (Lightweight),62,5,92,41,12,Cosmetics
101,Glass (Lightweight),59,4,78,85,31,Logistics
102,Palm Leaf,102,40,11,62,46,Electronics
103,Glass (Lightweight),98,17,36,65,51,Cosmetics
104,Bamboo Composite,43,28,11,0,2,Pharmaceutical
105,Aluminum (Recycled),54,39,10,82,75,Cosmetics
106,Palm Leaf,118,15,80,53,0,Electronics
107,Bioplastic-PHB,97,13,65,76,64,Cosmetics
108,Bamboo Composite,109,9,75,28,53,Cosmetics
109,Recycled Cardboard,75,39,13,76,79,Food & Beverage
110,Glass (Lightweight),60,37,49,56,26,Food & Beverage
111,Glass (Lightweight),87,25,15,6,35,Logistics
112,Palm Leaf,105,46,63,3,74,Electronics
113,Aluminum (Recycled),50,43,24,82,90,Food & Beverage
114,Aluminum (Recycled),66,23,41,61,75,Electronics
115,Bioplastic-PHB,81,24,31,10,85,Cosmetics
116,Palm Leaf,66,31,31,42,55,Electronics
117,Bioplastic-PHB,81,16,22,77,94,Retail
118,Mushroom Mycelium Material,54,14,36,39,27,Electronics
119,Bamboo Composite,103,35,14,19,43,Food & Beverage
120,Glass (Lightweight),69,48,22,95,10,Pharmaceutical
121,Recycled Cardboard,52,17,19,7,55,Logistics
122,Aluminum (Recycled),96,19,55,12,56,Pharmaceutical
123,Hemp Fiber,113,46,51,1,2,Electronics
124,Bamboo Composite,101,22,10,79,4,Cosmetics
125,Recycled Cardboard,95,14,60,46,68,Electronics
126,Recycled Cardboard,97,56,27,14,80,Food & Beverage
127,Palm Leaf,108,31,68,34,78,Food & Beverage
128,Palm Leaf,82,2,1,43,14,Electronics
129,Bamboo Composite,96,1,15,64,33,Electronics
130,Recycled Cardboard,106,31,9,68,82,Retail
131,Aluminum (Recycled),105,8,26,1,100,Pharmaceutical
132,Recycled HDPE,44,3,57,47,40,Logistics
133,Bioplastic-PHB,41,3,33,29,73,Electronics
134,Bioplastic-PHB,104,24,89,82,72,Cosmetics
135,Bamboo Composite,91,12,67,68,68,Retail
136,Bamboo Composite,113,54,12,51,33,Cosmetics
137,Aluminum (Recycled),42,35,96,47,79,Food & Beverage
138,Glass (Lightweight),81,50,35,79,36,Cosmetics
139,Recycled PET,44,29,32,32,38,Retail
140,Bamboo Composite,114,11,11,74,3,Electronics
141,Bioplastic-PHB,89,46,56,35,32,Food & Beverage
142,Compostable Starch Polymer,72,33,83,1,25,Logistics
143,Aluminum (Recycled),106,52,33,57,77,Cosmetics
144,Bioplastic-PHB,94,40,96,50,38,Logistics
145,Aluminum (Recycled),112,48,6,99,89,Logistics
146,Aluminum (Recycled),69,19,27,8,94,Pharmaceutical
147,Seaweed-Based Film,76,26,89,17,76,Pharmaceutical
148,Bamboo Composite,50,3,53,55,67,Cosmetics
149,Glass (Lightweight),60,15,83,59,49,Food & Beverage
150,Bamboo Composite,110,11,59,56,70,Food & Beverage
151,Bioplastic-PHB,71,37,23,64,79,Retail
