product_name,industry,weight_kg,volume_cm3,fragility_level,moisture_sensitivity,temperature_sensitivity,price_usd
Laptop,Laptops,1.081543484809252,0.1684744422463455,9.0,Medium,Low,3.2725927680767053
Smartphone,Mobile Phones,-0.3532366248151341,-1.185631319633183,8.0,Medium,Low,2.8352635545472826
Headphones,Electronics,-0.22847313702170927,0.3260688648677073,6.0,Low,Medium,0.599495627161217
Smartwatch,Wearable Tech,-0.4156183687118466,-1.7525481854727063,7.0,Low,Medium,1.5823769208797196
Bluetooth Speaker,Audio Devices,0.14581732635856534,0.46334877053740375,7.0,Low,Low,0.36123787798715196
Gaming Console,Video Games,1.3934522042928141,0.8245270381588296,5.0,Low,Low,2.0882231564962437
Tablet,Tablets,-0.16609139312499685,-0.631688881433505,5.0,Low,Low,1.7785114129004695
Camera,Photography,0.021053838565140485,-0.4414241489763981,5.0,Low,Low,2.5251038995395962
Drone,Photography,0.4577260458421275,1.1556031365080988,5.0,Low,Low,2.6912829327898793
Fitness Tracker,Fitness & Health,-0.4156183687118466,-1.520160982480222,5.0,Low,Low,1.03370500278919
Wireless Mouse,Computer Accessories,-0.4156183687118466,-1.0890771123181493,5.0,Low,Low,-1.0962711434333539
External Hard Drive,Computer Accessories,-0.2908548809184217,-0.9902954087007195,5.0,Low,Low,0.36123787798715196
Desk Lamp,Home & Office,-0.16609139312499685,0.7321043534909828,5.0,Low,Low,-0.37390165642770384
Electric Kettle,Kitchen Appliances,0.14581732635856534,0.9497533619255573,5.0,Low,Low,-0.6757680124459229
Portable Charger,Mobile Accessories,-0.3532366248151341,-0.9612146433613732,5.0,Low,Low,-1.3898765951734235
Wireless Earbuds,Audio Devices,-0.4468092406602028,-1.2602657352877344,7.0,Low,Low,0.599495627161217
Power Bank,Mobile Accessories,-0.38442749676349036,-1.3737955695992239,5.0,Low,Low,-0.8656762718615619
Car Phone Holder,Car Accessories,-0.4156183687118466,-0.33198088188399805,5.0,Low,Low,-1.7944312098582218
Portable Bluetooth Speaker,Audio Devices,-0.2908548809184217,0.10377068049860219,7.0,Low,Low,-0.13825438947803723
Wireless Charging Pad,Mobile Accessories,-0.3532366248151341,-0.9612146433613732,5.0,Low,Low,-0.6757680124459229
Smart Thermostat,Home Appliances,-0.3532366248151341,-0.9076098592878108,5.0,Low,Low,1.03370500278919
Robot Vacuum,Home Appliances,1.081543484809252,1.0095315583932494,5.0,Low,Low,1.7785114129004695
Electric Toothbrush,Personal Care,-0.2908548809184217,-0.9612146433613732,5.0,Low,Low,-0.13825438947803723
Wireless Keyboard,Computer Accessories,-0.16609139312499685,0.10377068049860219,5.0,Low,Low,-0.37390165642770384
Smart Doorbell,Home Security,-0.2908548809184217,-0.8591184336667013,5.0,Low,Low,0.7945641397739368
