material_name,Predicted_Suitability
Gelatin Film,0.19832246
Paper Foam,0.14496584
Hemp Fiber,0.14125444
Chitosan Coating,0.110988624
Recycled Cardboard,0.10946801
Stone Paper,0.1058974
Cassava Bioplastic,0.08706454
Kraft Paper,0.08650302
Molded Bamboo Pulp,0.082932934
Molded Pulp,0.07931952
Paper Honeycomb,0.07691688
Recycled Paperboard,0.07684321
PHA,0.07673528
Soy Protein Film,0.07365386
Corn Husk Packaging,0.07270005
Nanocellulose Film,0.067836754
Banana Fiber,0.065846294
Paper Straw Composite,0.06427745
Algae BioSheet,0.06265942
Agar Film,0.059651304
Seaweed Film,0.055684302
Wood Pulp Board,0.052017298
Palm Leaf,0.04845099
Cotton Fiber,0.045602113
Corrugated Paperboard,0.044366222
Starch-based Foam,0.041915532
Mycelium Packaging,0.031146206
Recycled Aluminum,0.029626606
Recycled Glass,0.029520063
Recycled Kraft,0.025150036
Recycled PET Foam,0.017257478
Textile Offcut Packaging,0.012651108
Fiberboard,0.011264448
Bio-PET,0.0036583208
Sugarcane Pulp Trays,0.0029497196
Grass Paper,-0.00024069846
Carrageenan Film,-0.009416987
Jute Fiber,-0.027192704
PBAT,-0.029354222
Seaweed Biopolymer Sheet,-0.030451901
Shellac Coated Paper,-0.032950412
Recycled Kraft Paper,-0.034552824
Wheat Straw Board,-0.035207644
PLA-PBAT Blend,-0.03563206
Peanut Shell Fiber,-0.036665212
Virgin Cardboard,-0.038808275
Recycled Corrugated,-0.040256366
rHDPE,-0.05920532
Seaweed-Based Bioplastic,-0.0763346
Compostable PE,-0.079304285
Fungal Composite,-0.080208264
Bamboo Fiber,-0.08867353
PLA,-0.09228108
rPET,-0.092978515
Biowax-coated Paper,-0.09368611
Starch-Based Bioplastic,-0.10026685
Aloe Fiber Packaging,-0.10094952
Biodegradable PHA,-0.11345867
Rice Husk Packaging,-0.11536404
Bagasse,-0.13323997
Coconut Coir Fiber,-0.14016736
Bio-PE,-0.14830312
Cellulose Film,-0.2336657
