product_id,product_name,category,weight,fragility_level,industry
1,"LED Bulb",Electronics,0.2,8,Electronics
2,Smartphone,Electronics,0.4,9,Electronics
3,Laptop,Electronics,2.0,10,Electronics
4,Smartwatch,Electronics,0.15,7,Electronics
5,"Bluetooth Speaker",Electronics,0.8,5,Electronics
6,"Power Bank",Electronics,0.3,4,Electronics
7,"Chocolate Box",Food,0.5,3,Food
8,"Cookies Pack",Food,0.25,2,Food
9,"Fruit Basket",Food,1.5,2,Food
10,"Face Cream Jar",Cosmetics,0.3,4,Cosmetics
11,"Shampoo Bottle",Cosmetics,0.6,2,Cosmetics
12,"Perfume Bottle",Cosmetics,0.35,7,Cosmetics
13,"Herbal Oil Bottle",Cosmetics,0.4,3,Cosmetics
