PRODUCT_ID,PRODUCT_NAME,CATEGORY,WEIGHT,FRAGILITY_LEVEL,INDUSTRY
1,Sustainable Wrap,Retail Packaging,37,40,Retail
2,Recyclable Cup,Retail Packaging,79,70,Pharmaceutical
3,Eco Bottle,Shipping Container,22,40,Cosmetics
4,Recyclable Cup,Retail Packaging,98,10,Cosmetics
5,Sustainable Wrap,Cosmetic Packaging,36,30,Cosmetics
6,Paper Wrap,Electronics Packaging,18,30,Food & Beverage
7,Recyclable Cup,Pharma Packaging,98,50,Electronics
8,Bio Tray,Food Packaging,14,70,Pharmaceutical
9,Eco Bottle,Shipping Container,84,10,Pharmaceutical
10,Sustainable Wrap,Pharma Packaging,96,80,Electronics
11,Compostable Box,Cosmetic Packaging,37,50,Retail
12,Recycled Jar,Retail Packaging,54,10,Pharmaceutical
13,Compostable Box,Shipping Container,23,50,Cosmetics
14,Plant-Based Cup,Food Packaging,92,90,Food & Beverage
15,Bio Tray,Cosmetic Packaging,25,50,Retail
16,Sustainable Wrap,Retail Packaging,81,40,Logistics
17,Sustainable Wrap,Food Packaging,63,80,Cosmetics
18,Plant-Based Cup,Cosmetic Packaging,69,30,Retail
19,Bio Tray,Electronics Packaging,39,30,Food & Beverage
20,Bio Tray,Retail Packaging,57,90,Food & Beverage
21,Natural Canister,Shipping Container,64,50,Pharmaceutical
22,Natural Canister,Electronics Packaging,49,10,Logistics
23,Compostable Box,Food Packaging,25,50,Food & Beverage
24,Sustainable Wrap,Electronics Packaging,82,10,Logistics
25,Eco Bottle,Retail Packaging,69,60,Food & Beverage
26,Compostable Box,Retail Packaging,78,90,Electronics
27,Fiber Pouch,Electronics Packaging,19,20,Food & Beverage
28,Eco Sleeve,Shipping Container,52,90,Cosmetics
29,Plant-Based Cup,Pharma Packaging,57,50,Electronics
30,Recycled Jar,Shipping Container,68,50,Food & Beverage
31,Compostable Box,Electronics Packaging,86,90,Pharmaceutical
32,Eco Sleeve,Retail Packaging,54,70,Cosmetics
33,Bio Tray,Pharma Packaging,7,90,Pharmaceutical
34,Sustainable Wrap,Electronics Packaging,27,50,Cosmetics
35,Eco Sleeve,Retail Packaging,53,40,Food & Beverage
36,Plant Fiber Container,Pharma Packaging,66,40,Logistics
37,Compostable Box,Food Packaging,63,30,Food & Beverage
38,Bio Packet,Food Packaging,76,10,Cosmetics
39,Plant Fiber Container,Retail Packaging,8,70,Food & Beverage
40,Green Mailer,Pharma Packaging,78,80,Retail
41,Paper Wrap,Pharma Packaging,92,90,Retail
42,Compostable Box,Shipping Container,15,80,Food & Beverage
43,Compostable Box,Food Packaging,16,30,Food & Beverage
44,Recycled Jar,Retail Packaging,31,20,Electronics
45,Plant-Based Cup,Electronics Packaging,27,80,Cosmetics
46,Recycled Jar,Cosmetic Packaging,6,60,Food & Beverage
47,Fiber Pouch,Pharma Packaging,42,60,Food & Beverage
48,Bio Packet,Shipping Container,47,20,Food & Beverage
49,Recyclable Cup,Retail Packaging,22,20,Retail
50,Sustainable Wrap,Cosmetic Packaging,59,70,Retail
51,Fiber Pouch,Retail Packaging,73,20,Logistics
52,Compostable Box,Electronics Packaging,47,60,Logistics
53,Green Mailer,Pharma Packaging,32,90,Electronics
54,Sustainable Wrap,Pharma Packaging,71,50,Retail
55,Paper Wrap,Electronics Packaging,91,90,Electronics
56,Bio Tray,Cosmetic Packaging,54,40,Retail
57,Eco Bottle,Shipping Container,83,50,Cosmetics
58,Green Mailer,Electronics Packaging,88,70,Retail
59,Plant Fiber Container,Shipping Container,42,20,Pharmaceutical
60,Eco Sleeve,Shipping Container,39,60,Logistics
61,Plant-Based Cup,Shipping Container,18,40,Cosmetics
62,Paper Wrap,Retail Packaging,79,40,Food & Beverage
63,Recyclable Cup,Shipping Container,33,30,Food & Beverage
64,Compostable Box,Shipping Container,79,10,Logistics
65,Natural Canister,Pharma Packaging,68,60,Logistics
66,Recycled Jar,Pharma Packaging,94,40,Pharmaceutical
67,Recyclable Cup,Shipping Container,78,70,Logistics
68,Eco Sleeve,Electronics Packaging,92,80,Food & Beverage
69,Recyclable Cup,Retail Packaging,93,90,Retail
70,Plant Fiber Container,Food Packaging,29,70,Cosmetics
71,Eco Bottle,Shipping Container,46,10,Electronics
72,Eco Tube,Pharma Packaging,91,10,Pharmaceutical
73,Bio Packet,Food Packaging,10,30,Pharmaceutical
74,Eco Tube,Shipping Container,14,50,Food & Beverage
75,Sustainable Wrap,Retail Packaging,8,60,Food & Beverage
76,Eco Tube,Pharma Packaging,86,60,Retail
77,Green Mailer,Shipping Container,27,50,Retail
78,Natural Canister,Pharma Packaging,100,30,Logistics
79,Bio Packet,Shipping Container,36,60,Food & Beverage
80,Natural Canister,Pharma Packaging,24,40,Retail
81,Bio Packet,Food Packaging,48,60,Pharmaceutical
82,Bio Tray,Cosmetic Packaging,27,20,Logistics
83,Fiber Pouch,Retail Packaging,59,50,Electronics
84,Eco Bottle,Retail Packaging,64,90,Logistics
85,Compostable Box,Electronics Packaging,15,70,Food & Beverage
86,Bio Tray,Food Packaging,29,90,Cosmetics
87,Natural Canister,Retail Packaging,12,10,Pharmaceutical
88,Eco Tube,Shipping Container,27,90,Food & Beverage
89,Eco Tube,Retail Packaging,31,90,Logistics
90,Sustainable Wrap,Electronics Packaging,44,90,Cosmetics
91,Eco Sleeve,Retail Packaging,24,60,Electronics
92,Recycled Jar,Pharma Packaging,28,20,Food & Beverage
93,Recyclable Cup,Shipping Container,57,10,Pharmaceutical
94,Fiber Pouch,Cosmetic Packaging,75,80,Logistics
95,Natural Canister,Electronics Packaging,94,60,Retail
96,Eco Tube,Retail Packaging,97,50,Electronics
97,Eco Bottle,Pharma Packaging,56,60,Food & Beverage
98,Recycled Jar,Cosmetic Packaging,71,10,Pharmaceutical
99,Bio Tray,Cosmetic Packaging,14,60,Food & Beverage
100,Recyclable Cup,Electronics Packaging,28,30,Food & Beverage
101,Bio Tray,Cosmetic Packaging,23,70,Pharmaceutical
102,Recycled Jar,Shipping Container,78,90,Pharmaceutical
103,Recycled Jar,Shipping Container,70,90,Electronics
104,Fiber Pouch,Cosmetic Packaging,7,60,Electronics
105,Plant-Based Cup,Food Packaging,46,80,Retail
106,Recycled Jar,Food Packaging,82,90,Pharmaceutical
107,Compostable Box,Food Packaging,18,50,Pharmaceutical
108,Green Mailer,Food Packaging,66,50,Electronics
109,Fiber Pouch,Retail Packaging,37,60,Retail
110,Paper Wrap,Food Packaging,40,40,Pharmaceutical
111,Fiber Pouch,Cosmetic Packaging,8,50,Food & Beverage
112,Natural Canister,Electronics Packaging,60,70,Retail
113,Plant-Based Cup,Food Packaging,94,40,Pharmaceutical
114,Recyclable Cup,Pharma Packaging,40,30,Cosmetics
