material_name,material_type,tensile_strength,weight_capacity,biodegradability_score,co2_emission_score,recyclability_percent,price_inr_per_unit,suitable_industries,material_type_encoded,cost_efficiency_index,co2_impact_index,durability_index,base_suitability_score
PLA Bioplastic,Bioplastic,49.83303031232279,205.22641547296513,7,3.98469896793088,60,165.83353802602485,"Food Packaging, Electronics, 3D Printing",2,0.6511627906976745,0.625,0.083027675891964,0.4702571399768915
Corrugated Cardboard,Paper,4.970814403346227,52.51565202585902,8,0.9809513304304527,100,33.9714348165302,"Logistics, Retail, Electronics",9,0.9674418604651163,1.0,0.008002667555851951,0.6926333584062905
Corrugated Cardboard,Paper,4.656496685604453,54.14030616005415,8,1.0020923662355044,100,35.19801487952783,"Logistics, Retail, Electronics",9,0.9674418604651163,1.0,0.008002667555851951,0.6926333584062905
Jute Composite,Natural Fiber,36.423514741438034,189.71291471153285,8,1.978880351883344,75,131.90174428942757,"Textiles, Packaging, Agriculture",7,0.75,0.875,0.05801933977992665,0.592405801933978
Styrofoam (EPS),Plastic,0.4352453159440689,9.476117991020077,1,8.957581246526281,10,20.206323319276635,"Electronics, Logistics (Avoid if possible)",10,1.0,0.0,0.00033344448149383137,0.3001000333444481
Jute Composite,Natural Fiber,31.847832916636637,195.2450103352629,8,2.0138238055908633,75,123.33450131765157,"Textiles, Packaging, Agriculture",7,0.75,0.875,0.05801933977992665,0.592405801933978
Kraft Paper,Paper,31.775310182456323,15.657908749834208,9,1.9922224112064373,100,39.089763956852444,"Retail, Food, Fashion",9,0.9534883720930233,0.875,0.05801933977992665,0.653452313561885
Cork Sheet,Natural Wood,15.621374702738018,123.26091212603916,10,1.0127907004235288,70,279.68648390235757,"Home Decor, Flooring, Fashion",8,0.413953488372093,1.0,0.024674891630543518,0.531588514000791
Bamboo Composite,Natural Fiber,153.49125226181295,494.40988341404267,9,1.9623915674093593,80,218.45484122447465,"Construction, Furniture, Home Decor",7,0.5523255813953488,0.875,0.2330776925641881,0.5856209821878611
Corrugated Cardboard,Paper,5.161400526973992,49.09205114382248,8,0.9842275801647336,100,33.86348199392421,"Logistics, Retail, Electronics",9,0.9674418604651163,1.0,0.008002667555851951,0.6926333584062905
Kraft Paper,Paper,36.73738829983149,13.665117485738376,9,1.962353888528508,100,41.80988676560495,"Retail, Food, Fashion",9,0.9534883720930233,0.875,0.05801933977992665,0.653452313561885
Organic Cotton,Textile,0.530603723993382,31.377085165719524,9,0.9830364652355886,95,319.75296595806304,"Fashion, Textiles, Medical",11,0.2953488372093023,1.0,0.0005001667222407469,0.48875470117946296
Air Pillows (Recycled),Plastic,13.786586772608977,9.295865811904187,2,5.9307951690436145,90,25.87641442688449,"Logistics, Electronics, E-commerce",10,0.9883720930232558,0.375,0.024674891630543518,0.4539140953961398
Recycled Steel,Metal,623.5385374820016,2197.6008281775853,1,3.049392952898488,90,52.844369782999856,"Construction, Automotive, Heavy Machinery",6,0.9279069767441861,0.75,1.0000000000000002,0.8783720930232559
