Material_Type,Strength_MPa,Weight_Capacity_kg,Biodegradability_Score,CO2_Emission_Score,Recyclability_Percent
Palm Leaf Material,26.28,9.32,0.96,1.24,45.64
Compostable PLA,28.53,6.21,0.51,0.7,69.69
Glass (Recycled),83.55,5.01,0.71,1.81,40.68
Compostable PLA,61.84,8.47,0.36,1.29,25.22
Recycled Paperboard,18.36,1.86,0.65,1.44,37.75
Compostable PLA,45.23,4.7,0.44,1.62,58.65
Palm Leaf Material,81.25,6.15,0.99,0.34,31.89
Recycled Paperboard,29.99,9.93,0.52,0.68,84.73
Bagasse Fiber,94.3,5.38,0.97,1.38,26.57
Compostable PLA,99.63,5.18,0.45,1.88,54.52
Bamboo Pulp,119.29,9.71,0.86,1.52,81.2
Biodegradable Polymer,38.7,5.26,0.55,0.16,98.65
Glass (Recycled),62.96,3.27,0.48,1,86.56
Bamboo Pulp,5.64,7.3,0.55,0.57,48.96
Palm Leaf Material,7.94,6.64,0.57,1.27,53.19
Compostable PLA,52.35,6.33,0.54,0.99,97
Mycelium Packaging,97.4,2.33,0.92,1.5,82.89
Bagasse Fiber,116.35,5.77,0.63,1.08,67.92
Aluminum (Recycled),47.39,2.2,0.87,2.01,64.36
Mycelium Packaging,110.1,4.23,0.68,1.54,86.1
Biodegradable Polymer,108.08,8.39,0.68,0.84,51.78
Bamboo Pulp,33.27,1.91,0.38,0.72,20.82
Recycled Paperboard,15.68,1.79,0.66,2.21,82.78
Bagasse Fiber,36.49,0.31,0.91,0.72,31.62
Glass (Recycled),43.54,1.66,0.45,2.1,77.63
Bamboo Pulp,76.68,2.9,0.87,1.39,21.46
Aluminum (Recycled),8.52,3.6,0.71,0.18,25.25
Biodegradable Polymer,46.2,0.24,0.62,0.12,41.63
Mycelium Packaging,76.26,2.94,0.73,2.39,55.84
Bamboo Pulp,63.38,5.28,0.33,0.45,56.02
Compostable PLA,6.15,3.76,0.31,2.13,39.45
Compostable PLA,60.37,7.5,0.9,1.07,87.89
Glass (Recycled),89.71,4.78,0.42,2.08,63.18
Biodegradable Polymer,101.83,0.37,0.35,1.59,70.8
Compostable PLA,110.42,7.04,0.65,1.29,37.51
Glass (Recycled),53.99,3.49,0.68,1.11,82.61
Aluminum (Recycled),111.51,9.41,0.87,0.37,47.73
Recycled Paperboard,16.22,2.3,0.9,0.74,30.02
Recycled Paperboard,42.47,7.58,0.59,1.9,41.61
Recycled Paperboard,55.03,2.25,0.92,1.81,77.04
Compostable PLA,9.65,3.98,0.72,0.42,33.96
Aluminum (Recycled),78.88,3.9,0.9,0.98,34.26
Glass (Recycled),26.01,7.46,0.54,1.65,71.29
Bamboo Pulp,95.88,7.64,0.38,2.11,56.94
Glass (Recycled),66.68,3,0.42,0.24,35.91
Biodegradable Polymer,53.81,7.19,0.9,0.91,49.06
Biodegradable Polymer,87.03,8.86,0.99,1.65,58.22
Biodegradable Polymer,23.78,7.29,0.45,2.1,28.05
Palm Leaf Material,42.23,9.89,1,2.07,75.53
Aluminum (Recycled),51.32,0.46,0.5,1.68,21.48
Glass (Recycled),76.69,3.56,0.42,2.24,85.99
Compostable PLA,61.27,2.64,0.58,1.12,21.2
