material,weight,cost,co2_emission,durability,recyclable
Recycled Cardboard,44.55,3.95,0.841,7,0
Corn Starch Polymer,42.85,4.91,0.702,1,0
Recycled Cardboard,38.48,4.22,0.931,8,0
Recycled Paperboard,10.84,1.34,0.837,8,1
Recycled Paperboard,20.44,3.93,1.054,1,1
Biodegradable Plastic,47.69,1.35,1.163,6,1
PLA Bioplastic,53.96,2.03,0.589,3,1
Bagasse Fiber,33.08,3.24,0.57,9,0
Molded Pulp,44.36,3.6,0.862,3,1
Aluminum,9.28,2.25,1.469,1,0
Recycled Cardboard,38.84,1.71,0.73,3,0
Molded Pulp,51.08,4.75,0.243,8,0
Aluminum,43.28,1.87,1.454,7,1
Molded Pulp,35.53,3.13,0.324,1,0
Aluminum,52.37,2.41,0.909,2,0
PLA Bioplastic,45.99,2.04,1.166,6,1
PLA Bioplastic,19.55,2.38,0.658,8,1
Biodegradable Plastic,59.99,3.92,1.297,1,0
PLA Bioplastic,36.56,4.38,0.764,9,0
Recycled Paperboard,40.15,2.82,0.748,6,0
Bagasse Fiber,31.93,1.81,0.342,8,1
PLA Bioplastic,53.92,1.47,0.982,9,1
Bagasse Fiber,53.1,4.81,0.231,9,1
Biodegradable Plastic,51.63,4.99,1.188,9,1
Recycled Paperboard,40.62,2.97,0.516,5,0
Biodegradable Plastic,37.21,3.86,0.439,4,1
Corn Starch Polymer,20.49,3.81,0.289,4,0
Corn Starch Polymer,59.54,1.85,1.343,1,1
Glass,48.98,4.36,1.453,1,0
Corn Starch Polymer,32.59,2.04,0.174,4,1
PLA Bioplastic,47.48,4.07,0.422,8,1
Glass,11.84,2.63,0.573,5,0
Bagasse Fiber,55.66,1.66,0.983,9,0
Recycled Cardboard,7.47,0.93,0.453,4,0
Biodegradable Plastic,17.57,0.98,0.534,6,1
Glass,51.34,1.68,0.766,4,0
Aluminum,21.81,2.28,0.441,2,1
Corn Starch Polymer,31.64,3.83,0.755,9,1
Biodegradable Plastic,40.75,1.93,0.838,8,0
Aluminum,12.92,2.73,0.057,1,1
Recycled Paperboard,21.82,4.35,0.547,7,0
Glass,53.78,4.96,0.469,1,0
Molded Pulp,53.78,0.71,0.284,1,0
Recycled Paperboard,33.34,0.95,0.342,8,0
Aluminum,19.69,1.52,1.015,2,0
Molded Pulp,53.42,2.11,1.299,9,1
PLA Bioplastic,32.39,1.14,1.259,8,0
PLA Bioplastic,23.34,4.03,0.567,6,1
Corn Starch Polymer,54.21,2.18,0.782,9,0
Bagasse Fiber,16.25,0.78,0.634,4,0
Glass,50.08,3.76,1.289,2,0
PLA Bioplastic,51.14,2.07,1.451,8,1
PLA Bioplastic,33.75,2.7,1.11,7,1
Aluminum,13.91,3.68,0.941,8,1
Recycled Cardboard,57.19,2.94,0.624,1,1
Glass,8.27,1.62,0.441,1,0
Bagasse Fiber,53.76,3.89,0.86,8,0
Corn Starch Polymer,36.59,2.42,1.098,6,0
Recycled Paperboard,25.84,4.73,1.467,6,0
Molded Pulp,40.25,4.85,1.052,1,1
PLA Bioplastic,12.03,0.64,0.499,2,0
PLA Bioplastic,27.37,2.65,0.302,7,0
PLA Bioplastic,24.6,0.87,0.23,4,1
Glass,13.31,2.4,1.385,1,1
Recycled Paperboard,52.11,1.18,1.379,7,0
Corn Starch Polymer,10.61,3.01,1.392,3,0
PLA Bioplastic,57.42,3.49,0.141,4,1
PLA Bioplastic,14.17,4.77,0.216,7,1
Biodegradable Plastic,29.17,2.02,0.069,4,1
Biodegradable Plastic,13.82,2.79,1.41,7,0
Glass,53.36,4.44,1.485,3,0
Recycled Paperboard,31.31,1.63,1.474,1,0
Corn Starch Polymer,26.95,3.42,0.898,6,0
Bagasse Fiber,20.15,1.24,0.183,8,0
Aluminum,7.84,2.09,0.512,7,1
Recycled Cardboard,12.63,4.06,0.262,3,0
Bagasse Fiber,47.83,0.69,0.95,6,0
Molded Pulp,14.79,3.35,1.427,6,1
Recycled Cardboard,37.09,3.94,1.008,2,1
PLA Bioplastic,56.05,4.17,0.775,5,0
Corn Starch Polymer,10.92,2.54,0.55,1,0
Aluminum,29.9,3.7,0.781,4,0
Aluminum,13.58,1.23,0.967,4,0
PLA Bioplastic,21.73,3.28,0.625,6,0
PLA Bioplastic,47.03,4.42,1.391,4,0
Aluminum,39.48,4.47,1.276,5,1
Recycled Paperboard,44.11,2.43,0.82,4,0
Molded Pulp,15.64,1.73,1.269,1,0
Recycled Paperboard,8.76,4.32,0.192,4,0
PLA Bioplastic,53.38,1.64,1.126,9,1
Biodegradable Plastic,22.59,0.88,0.328,1,1
PLA Bioplastic,38.25,2.49,0.633,8,0
Corn Starch Polymer,57.54,2.82,0.348,7,0
Aluminum,27.87,0.79,0.511,6,0
Recycled Paperboard,15.77,2.55,0.149,1,0
Biodegradable Plastic,14.13,1.8,0.562,2,1
Corn Starch Polymer,39.36,2.8,1.45,5,1
Molded Pulp,8.1,2.33,0.056,7,0
Glass,23.07,4.84,1.067,8,1
Biodegradable Plastic,58.92,2.87,0.542,6,1
Molded Pulp,47.44,1.28,0.529,6,0
PLA Bioplastic,16.51,2.15,0.984,7,0
Molded Pulp,37.19,2.1,1.332,6,1
Bagasse Fiber,29.19,2.31,0.255,5,1
Recycled Paperboard,38.75,4.81,1.346,5,1
Molded Pulp,22.6,4.9,1.104,1,1
Bagasse Fiber,11.15,4.74,0.688,9,1
Bagasse Fiber,22.22,3.68,1.402,2,1
Molded Pulp,59.67,0.63,1.231,4,0
PLA Bioplastic,14.12,2.34,0.583,4,0
PLA Bioplastic,30.46,4.69,0.185,1,0
Recycled Paperboard,39.95,4.22,0.651,1,1
Bagasse Fiber,7.04,3.47,1.159,1,0
Recycled Cardboard,18.93,1.67,0.337,5,0
Biodegradable Plastic,52.86,2.77,0.958,7,0
Aluminum,12.68,3.55,0.535,7,1
Bagasse Fiber,5.99,3.24,1.287,4,1
Recycled Paperboard,42.93,2.74,1.334,5,1
Bagasse Fiber,52.91,0.55,0.313,7,0
Recycled Cardboard,24.55,2.62,0.743,8,0
Biodegradable Plastic,26.82,1.7,0.353,9,0
Molded Pulp,52.46,3.62,0.127,8,1
Biodegradable Plastic,56.27,2.94,0.857,4,0
Recycled Cardboard,29.79,4.04,0.288,4,0
Aluminum,58.62,3.09,0.289,2,1
Recycled Paperboard,43.39,3.65,0.599,3,1
PLA Bioplastic,46.45,4.27,1.416,3,0
Corn Starch Polymer,36.78,2.88,0.638,4,1
Recycled Cardboard,12.4,4.78,0.659,6,1
PLA Bioplastic,49.42,1.91,1.251,8,0
Recycled Paperboard,10.76,3.88,0.16,1,0
Glass,23.45,2.83,0.505,2,1
Biodegradable Plastic,36.04,0.86,0.099,6,1
Aluminum,39.24,1.85,0.749,6,0
Aluminum,30.2,3.31,0.628,8,0
Bagasse Fiber,49.71,3.41,1.036,3,0
Corn Starch Polymer,18.65,0.82,0.303,8,0
Corn Starch Polymer,28.25,2.29,0.734,9,1
Molded Pulp,49.31,0.76,1.341,7,0
PLA Bioplastic,35.15,2.8,1.227,4,0
Recycled Cardboard,18.61,1.33,1.025,3,0
Recycled Cardboard,5.59,3.85,0.794,6,0
Aluminum,18.58,2.37,1.442,3,1
Recycled Cardboard,18.74,1.92,0.799,7,1
Corn Starch Polymer,38.87,3.4,0.982,6,0
Recycled Cardboard,19.41,3.42,0.85,5,1
Corn Starch Polymer,33.84,3.76,0.211,7,0
Biodegradable Plastic,25.91,4.53,1.283,7,0
Biodegradable Plastic,6.98,2.21,0.434,1,0
Corn Starch Polymer,51.4,2.62,1.431,4,0
PLA Bioplastic,29.75,4.31,0.271,2,1
Recycled Paperboard,58.71,4.39,1.032,9,0
Glass,8.16,1.48,0.537,1,0
Aluminum,13.97,3.31,0.964,5,1
Molded Pulp,15.04,2.35,0.388,8,1
Recycled Paperboard,34.77,3.16,0.059,3,1
Glass,20.0,2.97,1.142,4,1
Recycled Cardboard,32.13,1.84,1.389,1,0
Biodegradable Plastic,45.37,4.07,1.459,1,0
Molded Pulp,15.16,2.82,0.916,1,1
Aluminum,55.64,1.69,1.051,5,0
Glass,41.3,3.4,1.318,7,0
Recycled Paperboard,42.95,3.47,1.128,7,0
Bagasse Fiber,14.24,2.46,0.291,2,0
Recycled Paperboard,42.72,2.45,1.126,6,0
PLA Bioplastic,38.1,1.31,0.639,4,1
Molded Pulp,41.02,3.43,1.107,5,0
Corn Starch Polymer,33.47,4.61,1.309,7,1
Glass,8.82,0.73,0.835,2,1
Recycled Paperboard,31.06,3.8,1.207,4,1
Corn Starch Polymer,31.66,1.98,0.727,6,1
Aluminum,38.98,4.58,1.426,6,0
Molded Pulp,10.54,0.88,1.049,6,1
Recycled Paperboard,6.55,0.75,1.107,9,1
Glass,8.74,2.87,0.652,5,1
Corn Starch Polymer,25.67,4.72,0.329,8,0
Biodegradable Plastic,47.51,4.86,1.018,9,0
Aluminum,27.39,1.55,0.743,2,0
Glass,56.42,4.33,1.319,7,0
Glass,34.3,3.46,1.267,7,0
Bagasse Fiber,29.55,3.4,0.894,6,0
PLA Bioplastic,23.09,4.35,0.157,1,1
Glass,23.92,4.69,0.995,9,0
Recycled Cardboard,7.61,2.47,0.978,6,0
Glass,29.67,0.74,1.091,9,1
Molded Pulp,54.68,2.96,0.607,8,0
Aluminum,53.48,1.41,0.947,7,1
Aluminum,49.71,4.34,0.594,2,1
Recycled Paperboard,57.81,3.75,1.238,8,1
Glass,21.86,4.69,0.557,9,0
Glass,56.05,2.68,0.699,4,0
Corn Starch Polymer,7.47,4.66,0.851,4,1
Glass,24.81,4.5,0.546,9,1
Recycled Cardboard,9.18,0.9,1.166,5,0
Bagasse Fiber,55.9,4.85,0.879,2,1
PLA Bioplastic,23.59,1.1,0.436,8,1
Recycled Cardboard,48.5,2.42,1.422,6,0
Biodegradable Plastic,46.2,4.36,0.062,8,1
PLA Bioplastic,30.62,2.54,0.95,9,0
