material_id,material_name,material_type,strength,weight_capacity,biodegradability_score,co2_emission_score,recyclability_percent,cost_per_kg,thickness_mm,water_resistance,temperature_tolerance,strength_scaled,weight_capacity_scaled,cost_scaled,biodegradability_normalized,recyclability_normalized,co2_normalized,material_type_encoded
1,Cardboard Grade Economy,Cardboard,424.72,28.77,92.32,1.219,87.34,1.07,2.35,5.0,13.0,-0.6767295431702043,0.8410181549297482,-1.424577551684457,0.9229610285255122,0.8725261341723334,0.9176215546608857,3
2,Cardboard Grade A,Cardboard,590.53,6.41,92.22,1.457,85.01,2.49,5.7,3.0,11.0,-0.3973199689379374,-0.835602712850355,-0.7884009806268234,0.9219566090799518,0.8488785141581244,0.8991947971508207,3
5,Cardboard Grade C,Cardboard,765.32,19.08,88.85,0.811,88.46,1.21,6.1,2.0,-3.0,-0.10277802647332152,0.11443245686225252,-1.3618559179182115,0.8881076737645641,0.8838932304881761,0.9492102818209972,3
6,Cardboard Grade B,Cardboard,220.63,27.73,87.59,1.264,89.68,1.68,5.28,3.0,52.0,-1.0206454710699895,0.7630357889864876,-1.1512904331315301,0.8754519887505023,0.8962752461179336,0.9141375038711675,3
13,Cardboard Grade Standard,Cardboard,321.03,27.39,89.75,1.194,95.43,1.04,5.63,4.0,32.0,-0.8514595278040851,0.7375415539665755,-1.438017901777224,0.8971474487746084,0.9546331066680199,0.9195571384329514,3
16,Cardboard Grade Premium,Cardboard,336.76,15.68,93.18,1.403,85.1,1.67,4.5,2.0,33.0,-0.8249526066131222,-0.1405098933368686,-1.155770549829119,0.9315990357573324,0.8497919415406474,0.9033756580984825,3
81,Kraft Paper Grade B,Kraft Paper,189.55,12.48,90.56,1.09,90.52,0.63,2.24,3.0,-15.0,-1.073018968248319,-0.38045563470074734,-1.621702686378372,0.9052832462836481,0.9048005683548157,0.9276091669247445,9
82,Kraft Paper Grade C,Kraft Paper,329.04,14.6,98.66,1.072,92.58,0.84,2.17,1.0,45.0,-0.837961724959863,-0.2214915810471777,-1.5276202357290034,0.9866412213740459,0.9257079062214554,0.9290027872406318,9
85,Kraft Paper Grade Economy,Kraft Paper,173.32,6.38,91.34,0.544,99.9,1.05,2.52,1.0,42.0,-1.100368448917698,-0.8378522041756414,-1.4335377850796351,0.9131177179590197,1.0,0.9698823165066585,9
90,Kraft Paper Grade A,Kraft Paper,392.9,7.7,95.77,0.749,93.91,1.34,0.67,3.0,18.0,-0.7303500283765896,-0.7388745858630414,-1.303614400849555,0.9576134993973484,0.9392063330965188,0.9540105295757201,9
91,Kraft Paper Grade Standard,Kraft Paper,202.6,14.22,96.28,0.734,91.39,1.71,2.05,2.0,33.0,-1.0510281658616651,-0.24998513783413823,-1.137850083038763,0.9627360385697068,0.9136303663858724,0.9551718798389595,9
98,Kraft Paper Grade Premium,Kraft Paper,352.88,3.47,99.85,1.087,91.25,1.89,2.67,5.0,19.0,-0.7977884890289949,-1.0560528627284187,-1.0572079824821619,0.9985938127762153,0.912209479346392,0.9278414369773924,9
161,Biodegradable Plastic Grade Economy,Biodegradable Plastic,1084.65,12.54,70.65,1.743,60.42,4.79,2.33,7.0,28.0,0.4353310100117507,-0.3759566520501747,0.24202585981863953,0.7053033346725593,0.5993098548665381,0.8770517187983896,2
162,Biodegradable Plastic Grade A,Biodegradable Plastic,885.29,7.39,80.2,1.608,60.61,3.4,2.85,8.0,-7.0,0.0993856947777794,-0.762119329557667,-0.3807103611462273,0.8012253917235839,0.6012382015629757,0.8875038711675441,2
164,Biodegradable Plastic Grade Standard,Biodegradable Plastic,655.96,16.34,78.97,2.689,73.1,5.97,2.14,7.0,-19.0,-0.28706263559243805,-0.09102108418056859,0.7706796301341378,0.7888710325431901,0.7280016238709022,0.8038092288634252,2
165,Biodegradable Plastic Grade C,Biodegradable Plastic,645.46,13.25,82.54,1.854,75.52,3.92,3.41,8.0,-17.0,-0.3047563846391711,-0.32271869068506404,-0.14774429287160085,0.8247288067496988,0.7525626712676342,0.8684577268504181,2
