material_id,material_name,material_type,strength,weight_capacity,biodegradability_score,co2_emission_score,recyclability_percent,cost_per_kg,thickness_mm,water_resistance,temperature_tolerance,strength_scaled,weight_capacity_scaled,cost_scaled,biodegradability_normalized,recyclability_normalized,co2_normalized,material_type_encoded,co2_impact_index,cost_efficiency_index,material_suitability_score,eco_score,sustainability_rating,strength_weight_ratio,value_for_money,environmental_impact,durability_index
1,Cardboard Grade Economy,Cardboard,424.72,28.77,92.32,1.219,87.34,1.07,2.35,5.0,13.0,-0.6767295431702043,0.8410181549297482,-1.424577551684457,0.9229610285255122,0.8725261341723334,0.9176215546608856,3,13.817061997353154,41.65420344291355,72.70189409146282,76.0525,4,14.711465188777279,192.72429906542058,1.3100000000000003,14.590530245264127
2,Cardboard Grade A,Cardboard,590.53,6.41,92.22,1.457,85.01,2.49,5.7,3.0,11.0,-0.3973199689379374,-0.835602712850355,-0.7884009806268234,0.9219566090799518,0.8488785141581244,0.8991947971508207,3,16.552478876107095,2.35894699477877,72.47740825582656,74.845,4,90.71121351766513,106.74738955823291,1.49225,15.676216872103273
5,Cardboard Grade C,Cardboard,765.32,19.08,88.85,0.811,88.46,1.21,6.1,2.0,-3.0,-0.1027780264733215,0.1144324568622525,-1.3618559179182117,0.8881076737645641,0.8838932304881761,0.9492102818209972,3,12.053853201669561,38.92387116000074,74.58348370735608,75.842,4,39.901981230448385,279.75785123966944,1.2515000000000005,18.402434738789395
6,Cardboard Grade B,Cardboard,220.63,27.73,87.59,1.264,89.68,1.68,5.28,3.0,52.0,-1.0206454710699897,0.7630357889864876,-1.15129043313153,0.8754519887505023,0.8962752461179336,0.9141375038711675,3,11.503613967219788,8.440031429199193,71.12692904694127,75.1485,4,7.9277757815307215,73.12380952380953,1.5104999999999997,5.782106791674678
13,Cardboard Grade Standard,Cardboard,321.03,27.39,89.75,1.194,95.43,1.04,5.63,4.0,32.0,-0.8514595278040851,0.7375415539665755,-1.438017901777224,0.8971474487746084,0.95463310666802,0.9195571384329514,3,5.543113101903694,31.72285821284349,75.35158378958863,78.022,4,11.678064750818477,157.2634615384615,1.22375,10.503723055093257
16,Cardboard Grade Premium,Cardboard,336.76,15.68,93.18,1.403,85.1,1.67,4.5,2.0,33.0,-0.8249526066131222,-0.1405098933368686,-1.155770549829119,0.9315990357573324,0.8497919415406474,0.9033756580984824,3,16.37839763819608,7.3687403592207446,71.19094825759709,75.2935,4,21.340937896070976,100.21676646706588,1.415,6.717810326422087
81,Kraft Paper Grade B,Kraft Paper,189.55,12.48,90.56,1.09,90.52,0.63,2.24,3.0,-15.0,-1.073018968248319,-0.3804556347007473,-1.621702686378372,0.905283246283648,0.9048005683548156,0.9276091669247444,9,10.382775119617234,23.250515659062316,72.3072240409338,76.743,4,15.067567567567568,169.41587301587302,1.254,4.353090168880165
82,Kraft Paper Grade C,Kraft Paper,329.04,14.6,98.66,1.072,92.58,0.84,2.17,1.0,45.0,-0.837961724959863,-0.2214915810471777,-1.5276202357290034,0.986641221374046,0.9257079062214554,0.9290027872406318,9,8.258169601954604,26.563000659423835,76.68509980905608,80.326,5,22.38367346938776,197.1357142857143,0.7885000000000002,4.060417592181252
85,Kraft Paper Grade Economy,Kraft Paper,173.32,6.38,91.34,0.544,99.9,1.05,2.52,1.0,42.0,-1.100368448917698,-0.8378522041756414,-1.4335377850796351,0.9131177179590196,1.0,0.9698823165066583,9,0.0,3.8915748671823285,77.37700000000001,81.118,5,26.746913580246915,93.94666666666667,0.7074999999999997,0.0
90,Kraft Paper Grade A,Kraft Paper,392.9,7.7,95.77,0.749,93.91,1.34,0.67,3.0,18.0,-0.7303500283765896,-0.7388745858630414,-1.303614400849555,0.9576134993973484,0.9392063330965188,0.95401052957572,9,6.41097424412095,6.55448131670737,77.02521762810305,80.26449999999998,5,50.37179487179487,140.44850746268656,0.7382500000000003,9.434082364720155
