id,material,weight,cost,co2_emission,recyclable,durability,co2_impact_index,cost_efficiency_index,sustainability_score
1,Leaf Husk Biopolymer Lightweight,14.9,5.9,0.42,1,6,0.26498422712933756,0.22811565304087736,0.774006309148265
2,Plant-Based Laminate Recycled Large,24.5,6.0,0.54,1,5,0.3406940063091483,0.15931372549019612,0.7137223974763407
3,Recycled Plastic Mix HeavyDuty Small,13.4,8.2,0.09,1,8,0.056782334384858045,0.21262553802008619,0.9172870662460568
4,Sugar Palm Fiber Consumer Small,14.9,5.2,0.38,1,7,0.23974763406940064,0.3514705882352941,0.8141009463722397
5,Rice Straw Pulp Blend,33.4,7.4,0.28,1,7,0.17665615141955837,0.2015103338632751,0.8393375394321767
6,Corrugated Fiberboard Lightweight Large,18.6,3.4,0.98,1,5,0.6182965299684543,0.3980968858131489,0.6026813880126183
7,BioFoam Consumer,11.0,5.9,1.01,1,5,0.637223974763407,0.16460618145563313,0.5951104100946372
8,Jute Stick Composite Premium Fiber,16.0,5.7,0.26,1,9,0.1640378548895899,0.4386996904024768,0.904384858044164
9,Recycled Plastic Mix Industrial Pack,16.9,6.9,0.48,1,8,0.3028391167192429,0.2815004262574595,0.8188643533123028
10,Tapioca Polymer Standard Medium,52.8,7.1,0.98,1,8,0.6182965299684543,0.2692626346313174,0.6926813880126182
11,Starch-Coir Composite Blend Sheet,16.6,5.7,0.47,1,7,0.29652996845425866,0.3072239422084624,0.7913880126182965
12,Palm Husk Fiber HeavyDuty Large,26.0,6.4,0.44,1,7,0.277602523659306,0.2568933823529412,0.7989589905362775
13,Corn-Based BioWrap Composite Small,15.4,8.5,0.5,1,8,0.31545741324921134,0.19972318339100348,0.8138170347003154
14,Aluminum Can Blend Small,41.3,11.15,1.32,1,9,0.832807570977918,0.14951200211026117,0.6368769716088328
15,Hemp Bioplastic Composite Pack,13.2,6.9,1.19,1,5,0.750788643533123,0.11858482523444164,0.5496845425867508
16,Tapioca Polymer Standard Blend,37.9,9.8,0.44,1,5,0.277602523659306,0.03823529411764708,0.7389589905362776
17,Coffee Husk Polymer Lightweight Fiber,9.4,3.5,1.25,1,7,0.7886435331230284,0.5964705882352942,0.5945425867507886
18,Glass Consumer Pack,53.837500000000006,7.8,1.585,1,8,1.0,0.2313725490196079,0.54
19,Hybrid Starch Plastic Sheet,26.1,6.3,1.16,1,7,0.7318611987381703,0.2633986928104576,0.6172555205047319
20,Recycled Steel Premium Small,53.837500000000006,9.6,0.46,1,9,0.2902208201892745,0.19834558823529413,0.8539116719242903
21,Plastic (HDPE) Premium Pack,15.2,7.3,1.12,1,8,0.7066246056782335,0.25769540692989523,0.6573501577287066
22,Glass Premium Small,53.837500000000006,10.0,1.585,1,9,1.0,0.18429411764705886,0.5700000000000001
