Material_ID,Material_Type,Strength,Weight_Capacity,Biodegradability_Score,CO2_Emission_Score,Recyclability_Percent,Material_Type_Aluminum,Material_Type_Bamboo,Material_Type_Cotton,Material_Type_Glass,Material_Type_Paper,Material_Type_Plastic,Material_Type_Steel,Material_Type_Wood,CO2_Impact_Index,Cost_Efficiency_Index,Material_Suitability_Score,Predicted_Cost,Predicted_CO2,Cost_Score,CO2_Score,Material_Rank,Material_Rank_Position
M-1315,Aluminum,0.0489192263936291,0.4918913226621735,0.74,0.1517015170151701,0.9664664664664664,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0050870879079161,0.0994510874430262,0.5315076304973916,0.15297177478803434,-0.013961458,0.01700965267410209,0.0052657467,0.9888623002972934,1
M-0705,Steel,0.0272591402886524,0.921335299073294,0.87,0.0412054120541205,0.871971971971972,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0052754476493713,0.0295865259146637,0.5334952477070525,0.045212532737421866,0.009772033,0.004264015536707588,0.029002063,0.9833669607434661,2
M-0225,Aluminum,0.0280621918847174,0.5335930918281382,0.27,0.0059450594505945,0.5469469469469469,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026934273346737,0.0525908969279889,0.256308960837971,0.053887968628061424,0.045647316,0.005290135948902824,0.064881615,0.9649141243551937,3
M-0069,Paper,0.0517299069798567,0.4219671440606571,0.82,0.1396063960639606,0.8601601601601602,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0195225360662015,0.1225919721855133,0.5247400108399907,0.1490234758461281,0.036666572,0.016542652492346363,0.055899806,0.9637787705934932,4
M-0600,Wood,0.0370296013741104,0.3586773378264532,0.63,0.504510045100451,0.9413413413413414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0295938825254118,0.1032390235733368,0.4862142429520465,0.08726891630014495,0.058101874,0.009238395404281133,0.07733766,0.9567119723501494,5
M-1249,Plastic,0.054027526824154,0.1967144060657119,0.82,0.2189421894218942,0.9091091091091092,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0198998506501581,0.274648172731862,0.5403437434623943,0.26134545158754163,0.044612497,0.029827964435083322,0.063846685,0.9531626752863016,6
M-0526,Bamboo,0.1020990876441589,0.4330244313395113,0.58,0.3731037310373103,0.8756756756756757,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046385869264098,0.2357808115988195,0.4775423377603662,0.3197282619679169,0.04348974,0.03673341497472307,0.06272379,0.9502713959679435,7
M-0919,Paper,0.1135648798768654,0.7647430497051391,0.67,0.0522755227552275,0.8716716716716716,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0067084304476678,0.1485005080074208,0.5079274534522477,0.30413083659972623,0.04601408,0.03488856974161371,0.06524843,0.9499315002415741,8
M-0570,Bamboo,0.0573512681523121,0.3572030328559393,0.52,0.4950799507995079,0.9496496496496496,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0249274489741894,0.1605560488602936,0.4638354021558197,0.33595108601221674,0.04245291,0.03865223163190899,0.061686832,0.9498304679551551,9
M-1482,Aluminum,0.0450824243235405,0.9685130581297388,0.42,0.2207872078720787,0.4521521521521521,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1209577966650537,0.0465480329842579,0.2796786153750619,0.08823665654627467,0.07464236,0.009352858588929638,0.093880124,0.9483835085104726,10
M-0367,Aluminum,0.0886033594325102,0.3603622577927548,0.92,0.8772037720377203,0.805005005005005,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1710503451380859,0.2458723455193816,0.5529428452745055,0.375405799836571,0.042848993,0.04331888904518934,0.062082965,0.9472990730139262,11
M-0367,Aluminum,0.0886033594325102,0.3603622577927548,0.92,0.8772037720377203,0.805005005005005,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1710503451380859,0.2458723455193816,0.5529428452745055,0.375405799836571,0.042848993,0.04331888904518934,0.062082965,0.9472990730139262,12
M-0947,Aluminum,0.0226862075888375,0.9415543386689132,0.51,0.2406724067240672,0.4146146146146146,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1408861095617963,0.024094396428052,0.2864588674199194,0.07126359759238797,0.079573594,0.0073453050239533964,0.09881193,0.946921381533958,13
M-1077,Wood,0.038881081442816,0.8033909014321821,0.69,0.9512095120951212,0.9448448448448448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0524641082246658,0.0483961580562411,0.5060058860305798,0.06318846651872705,0.082142234,0.0063901879635212145,0.101380885,0.9461144636945547,14
M-0962,Aluminum,0.0583550826473934,0.6739679865206403,0.46,0.1199261992619926,0.366966966966967,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075917245658943,0.0865842254087255,0.2714321231490475,0.12195249175985541,0.075792074,0.013340728151102802,0.09502997,0.9458146496776243,15
M-0799,Aluminum,0.0403533427022686,0.3977464195450716,0.67,0.8144731447314474,0.8302302302302302,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1382729182647182,0.101454693907061,0.4662104061499765,0.10338976598259007,0.07984215,0.011145150653194458,0.09908053,0.9448871582787876,16
M-0386,Aluminum,0.0731892301858172,0.6667017691659647,0.02,0.05330053300533,0.739039039039039,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0139093583128023,0.1097779003938679,0.2569874037860385,0.144657495885659,0.083298326,0.016026249488146137,0.10253712,0.9407183163066948,17
