Material_ID,Material_Type,Product_Category,Strength_MPa,Weight_Capacity_kg,Biodegradability_Score,CO2_Emission_Score_kg,Recyclability_Percentage,Source,Certification,Price_INR,Availability_Status
MAT00001,Cellulose,Textiles,22.26,28.23,37.9,11.18,67.7,Supplier A,EcoCert,3720.06,Low Stock
MAT00002,Recycled Paper,Electronics,55.91,24.03,68.2,8.64,71.6,Supplier D,FSC,2959.78,Low Stock
MAT00003,Recycled Aluminum,Household Items,406.62,1.64,84.5,10.62,34.0,Supplier C,ISO 14001,785.18,In Stock
MAT00004,Linen,Textiles,185.9,35.05,41.2,1.13,45.9,Supplier D,ISO 14001,663.17,Pre-Order
MAT00005,Recycled Glass,Coatings,443.87,36.8,35.4,1.51,66.1,Supplier A,FSC,3246.13,In Stock
MAT00006,Linen,Household Items,232.17,83.58,33.0,5.65,67.0,Supplier A,EcoCert,2962.27,Pre-Order
MAT00007,Bio-based Polymer,Insulation,367.27,17.18,50.4,14.85,64.0,Supplier C,ISO 14001,2384.59,In Stock
MAT00008,Corn Plastic,Food Packaging,404.47,40.72,25.3,13.74,56.7,Supplier B,None,3026.18,Low Stock
MAT00009,Linen,Toys,80.01,14.82,79.6,8.32,74.7,Supplier E,Cradle to Cradle,1872.48,Low Stock
MAT00010,Hemp Fiber,Construction,259.67,10.0,23.8,2.09,62.7,Supplier D,EcoCert,3321.66,In Stock
MAT00011,Linen,Office Supplies,301.99,47.34,40.1,8.52,94.2,Supplier A,None,2875.95,Pre-Order
MAT00012,Cork Composite,Household Items,386.61,34.68,43.5,2.79,0.3,Supplier C,EcoCert,3042.78,In Stock
MAT00013,Mushroom Composite,Textiles,436.55,30.55,71.1,9.33,15.3,Supplier E,EcoCert,3203.8,In Stock
MAT00014,Bioplastic,Bags & Luggage,249.42,12.07,49.0,14.79,80.7,Supplier B,EcoCert,1119.67,In Stock
MAT00015,Sustainable Bamboo,Kitchen Utensils,409.85,97.82,62.6,2.32,66.0,Supplier B,GOTS,3938.35,Pre-Order
MAT00016,Bioplastic,Sports Equipment,482.54,92.96,80.4,10.5,71.3,Supplier C,Cradle to Cradle,1755.45,Pre-Order
MAT00017,Recycled PET,Textiles,131.47,7.34,21.7,8.53,58.8,Supplier A,FSC,195.05,In Stock
MAT00018,Recycled Paper,Bags & Luggage,44.72,24.56,73.5,3.61,13.2,Supplier E,EcoCert,3892.7,Low Stock
MAT00019,Hemp Fiber,Kitchen Utensils,405.67,19.85,27.8,6.75,42.4,Supplier A,None,2026.86,Pre-Order
MAT00020,Cellulose,Textiles,39.7,73.09,84.0,2.08,19.2,Supplier B,Cradle to Cradle,2302.42,In Stock
MAT00021,Mycelium Leather,Toys,132.41,92.4,55.5,12.99,55.0,Supplier E,ISO 14001,367.69,In Stock
MAT00022,Cork Composite,Accessories,91.49,49.08,37.1,6.32,5.9,Supplier D,GOTS,1675.77,Low Stock
MAT00023,Recycled Glass,Sports Equipment,351.33,73.32,82.7,10.1,48.7,Supplier B,ISO 14001,922.96,Pre-Order
MAT00024,Recycled Copper,Insulation,39.87,32.05,24.0,7.41,91.9,Supplier A,EcoCert,2281.67,In Stock
MAT00025,Bio-based Polymer,Cosmetics,301.57,67.85,38.8,2.24,89.0,Supplier E,ISO 14001,1147.06,Pre-Order
MAT00026,Sustainable Bamboo,Sports Equipment,332.11,56.96,45.3,4.28,67.0,Supplier C,Cradle to Cradle,1417.64,In Stock
MAT00027,Wool,Footwear,234.04,92.97,94.9,0.64,62.1,Supplier A,ISO 14001,2408.66,Pre-Order
MAT00028,Cork,Flooring,139.95,93.39,90.5,13.25,37.0,Supplier E,None,794.31,Low Stock
MAT00029,Bioplastic,Flooring,13.83,81.89,44.0,10.12,93.9,Supplier A,ISO 14001,701.35,Pre-Order
MAT00030,Algae-based Material,Construction,143.45,60.88,77.4,3.45,63.4,Supplier D,GOTS,1217.61,In Stock
MAT00031,Sustainable Bamboo,Sports Equipment,416.38,5.36,46.7,2.4,98.0,Supplier D,EcoCert,810.08,Pre-Order
MAT00032,Jute,Insulation,14.74,8.45,90.6,13.61,54.6,Supplier E,EcoCert,3490.98,In Stock
MAT00033,Jute,Construction,30.5,37.1,94.6,14.6,4.0,Supplier B,None,1591.11,In Stock
MAT00034,Certified Wood,Insulation,443.23,41.23,69.7,2.74,93.0,Supplier B,Cradle to Cradle,3610.5,In Stock
MAT00035,Bio-based Polymer,Bags & Luggage,393.37,41.76,73.6,11.16,24.8,Supplier A,Cradle to Cradle,800.12,In Stock
MAT00036,Cardboard,Accessories,107.79,91.93,48.0,12.4,87.1,Supplier B,Cradle to Cradle,1054.1,Low Stock
MAT00037,Mycelium Leather,Cosmetics,483.78,28.63,71.3,6.3,98.1,Supplier A,ISO 14001,2302.42,Low Stock
MAT00038,Bio-based Polymer,Adhesives,481.64,27.28,28.7,6.8,72.9,Supplier E,EcoCert,1415.98,In Stock
MAT00039,Linen,Adhesives,103.14,5.39,54.9,8.04,80.7,Supplier B,GOTS,2902.51,Low Stock
MAT00040,Sustainable Bamboo,Bags & Luggage,315.35,66.68,30.0,13.55,50.7,Supplier C,Cradle to Cradle,2822.83,Pre-Order
MAT00041,Recycled Glass,Insulation,72.37,42.62,95.2,10.32,90.3,Supplier C,Cradle to Cradle,2617.82,Pre-Order
MAT00042,Corn Plastic,Electronics,158.9,21.81,82.9,9.3,32.2,Supplier B,EcoCert,1926.43,Low Stock
MAT00043,Seaweed Polymer,Automotive,332.84,29.09,73.1,9.48,9.3,Supplier B,None,3959.1,Low Stock
MAT00044,Hemp Fiber,Furniture,82.2,5.58,98.7,9.36,76.8,Supplier E,FSC,1980.38,Pre-Order
MAT00045,Flax Fiber,Office Supplies,252.24,25.15,72.5,0.58,75.1,Supplier A,Cradle to Cradle,3233.68,In Stock
MAT00046,Bio-based Polymer,Flooring,237.63,56.18,93.4,2.26,13.3,Supplier E,EcoCert,2016.9,Pre-Order
MAT00047,Natural Rubber,Toys,310.2,72.21,60.4,12.54,54.8,Supplier D,Cradle to Cradle,3740.81,Low Stock
MAT00048,Cork Composite,Accessories,421.53,28.45,82.2,7.53,23.9,Supplier C,FSC,1918.13,Low Stock
MAT00049,Natural Rubber,Bags & Luggage,447.58,8.98,32.1,6.05,15.3,Supplier D,Cradle to Cradle,1018.41,Low Stock
MAT00050,Algae-based Material,Toys,213.73,21.48,53.6,13.62,58.4,Supplier E,Cradle to Cradle,2937.37,Low Stock
MAT00051,Biodegradable Plastic,Home Decor,156.32,39.61,91.3,12.62,53.8,Supplier E,FSC,3092.58,Low Stock
MAT00052,Hemp Fiber,Household Items,223.56,3.87,46.9,10.35,40.4,Supplier D,FSC,823.36,Pre-Order
MAT00053,Algae-based Material,Electronics,454.4,59.6,73.0,1.72,42.9,Supplier B,ISO 14001,3619.63,Low Stock
MAT00054,Linen,Bags & Luggage,113.71,33.36,80.9,6.0,75.2,Supplier C,ISO 14001,3480.19,Low Stock
MAT00055,Biodegradable Plastic,Insulation,35.52,95.24,37.9,1.49,95.7,Supplier A,FSC,326.19,In Stock
MAT00056,Corn Plastic,Electronics,314.45,24.62,57.9,2.16,94.8,Supplier C,GOTS,2018.56,In Stock
MAT00057,Bioplastic,Coatings,482.23,72.12,82.2,2.87,31.1,Supplier C,EcoCert,2471.74,Pre-Order
MAT00058,Linen,Office Supplies,471.32,20.63,67.4,12.54,24.3,Supplier C,None,2944.01,Pre-Order
MAT00059,Seaweed Polymer,Textiles,400.15,57.03,23.3,8.22,66.2,Supplier C,ISO 14001,440.73,Low Stock
MAT00060,Corn Plastic,Kitchen Utensils,61.71,96.12,70.8,12.52,70.7,Supplier E,None,1900.7,Low Stock
MAT00061,Bioplastic,Insulation,389.57,47.02,86.1,9.09,32.2,Supplier A,GOTS,1143.74,Low Stock
MAT00062,Hemp Fiber,Toys,289.23,67.15,46.9,7.67,32.5,Supplier C,GOTS,2108.2,Low Stock
MAT00063,Mycelium Leather,Coatings,353.58,28.35,20.8,14.25,8.6,Supplier D,EcoCert,3034.48,In Stock
MAT00064,Flax Fiber,Kitchen Utensils,326.49,49.59,83.4,1.85,22.2,Supplier C,None,2922.43,Pre-Order
MAT00065,Certified Wood,Kitchen Utensils,281.2,35.03,99.7,8.48,35.2,Supplier C,GOTS,1973.74,In Stock
MAT00066,Organic Cotton,Furniture,164.62,74.55,96.1,10.51,19.2,Supplier C,None,3108.35,Pre-Order
MAT00067,Cork Composite,Flooring,302.43,98.07,86.6,4.8,36.1,Supplier E,FSC,1370.33,Low Stock
MAT00068,Recycled Paper,Food Packaging,281.15,70.04,30.1,13.09,49.1,Supplier E,GOTS,3642.87,Low Stock
MAT00069,Cardboard,Toys,176.95,96.58,40.2,12.99,11.4,Supplier D,ISO 14001,426.62,Pre-Order
MAT00070,Cellulose,Food Packaging,84.35,81.3,95.9,1.74,24.8,Supplier D,EcoCert,2389.57,Pre-Order
MAT00071,Seaweed Polymer,Coatings,120.59,52.73,56.0,6.92,86.0,Supplier C,EcoCert,4110.16,Pre-Order
MAT00072,Recycled Paper,Coatings,480.45,10.82,81.0,9.57,26.5,Supplier B,FSC,489.7,Pre-Order
MAT00073,Sustainable Bamboo,Automotive,11.31,45.6,67.5,4.72,23.1,Supplier D,ISO 14001,2982.19,Pre-Order
MAT00074,Hemp Fiber,Household Items,396.04,62.88,72.9,14.04,42.5,Supplier B,GOTS,2335.62,In Stock
MAT00075,Sustainable Bamboo,Food Packaging,91.3,31.45,79.9,8.75,28.9,Supplier C,None,661.51,Low Stock
MAT00076,Mycelium Leather,Flooring,274.59,44.34,67.8,13.4,73.5,Supplier A,ISO 14001,2571.34,In Stock
MAT00077,Wool,Adhesives,297.69,3.05,81.2,12.41,57.6,Supplier B,Cradle to Cradle,3206.29,Pre-Order
MAT00078,Cellulose,Toys,458.88,18.97,66.8,9.7,49.2,Supplier C,Cradle to Cradle,529.54,Low Stock
MAT00079,Natural Rubber,Textiles,430.29,33.65,75.5,4.68,94.5,Supplier E,ISO 14001,3407.15,Low Stock
MAT00080,Sustainable Bamboo,Bags & Luggage,133.68,12.48,81.8,13.04,82.5,Supplier E,Cradle to Cradle,170.98,Low Stock
MAT00081,Recycled Paper,Furniture,264.04,62.64,59.9,6.91,5.2,Supplier B,GOTS,1230.06,Low Stock
MAT00082,Flax Fiber,Kitchen Utensils,69.5,97.34,68.7,3.97,15.8,Supplier E,Cradle to Cradle,2360.52,In Stock
MAT00083,Hemp Fiber,Textiles,236.11,12.63,86.6,7.73,71.7,Supplier C,Cradle to Cradle,2193.69,Low Stock
MAT00084,Cardboard,Accessories,233.83,15.32,35.2,9.19,74.6,Supplier A,GOTS,709.65,Low Stock
MAT00085,Natural Rubber,Flooring,140.91,1.25,78.1,12.64,58.0,Supplier B,Cradle to Cradle,2795.44,Pre-Order
MAT00086,Cardboard,Home Decor,172.9,76.52,50.2,14.03,87.0,Supplier B,EcoCert,4073.64,Low Stock
MAT00087,Hemp Fiber,Sports Equipment,31.39,74.73,76.4,12.27,38.6,Supplier B,Cradle to Cradle,2810.38,In Stock
MAT00088,Recycled Metal,Flooring,483.02,33.87,28.0,12.75,10.0,Supplier A,None,3793.1,In Stock
MAT00089,Jute,Construction,46.67,78.37,41.2,9.54,39.7,Supplier C,None,486.38,Pre-Order
MAT00090,Linen,Bags & Luggage,317.13,88.86,59.0,8.34,61.7,Supplier C,FSC,1101.41,Pre-Order
