Material_ID,Strength_MPa,Weight_Capacity_kg,Biodegradability_Score,CO2_Emission_Score_kg,Recyclability_Percentage,Source,Certification,Price_INR,Material_Type_Bio-based Polymer,Material_Type_Biodegradable Plastic,Material_Type_Bioplastic,Material_Type_Cardboard,Material_Type_Cellulose,Material_Type_Certified Wood,Material_Type_Cork,Material_Type_Cork Composite,Material_Type_Corn Plastic,Material_Type_Flax Fiber,Material_Type_Hemp Fiber,Material_Type_Jute,Material_Type_Linen,Material_Type_Mushroom Composite,Material_Type_Mycelium Leather,Material_Type_Natural Rubber,Material_Type_Organic Cotton,Material_Type_Recycled Aluminum,Material_Type_Recycled Copper,Material_Type_Recycled Glass,Material_Type_Recycled Metal,Material_Type_Recycled PET,Material_Type_Recycled Paper,Material_Type_Seaweed Polymer,Material_Type_Sustainable Bamboo,Material_Type_Wool,Product_Category_Adhesives,Product_Category_Automotive,Product_Category_Bags & Luggage,Product_Category_Coatings,Product_Category_Construction,Product_Category_Cosmetics,Product_Category_Electronics,Product_Category_Flooring,Product_Category_Food Packaging,Product_Category_Footwear,Product_Category_Furniture,Product_Category_Home Decor,Product_Category_Household Items,Product_Category_Insulation,Product_Category_Kitchen Utensils,Product_Category_Office Supplies,Product_Category_Sports Equipment,Product_Category_Textiles,Product_Category_Toys,Availability_Status_Low Stock,Availability_Status_Pre-Order,CO2_Impact_Index,Cost_Efficiency_Index,Material_Suitability_Score
MAT00001,0.024920910296969082,0.27503283823380825,0.22375,0.736551724137931,0.677,Supplier A,EcoCert,0.8924551896623593,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0.5758538522637013,0.35773634361233486,0.28019336411878765
MAT00002,0.09360138789672415,0.23259573608164094,0.6025,0.5613793103448277,0.716,Supplier D,FSC,0.7015423092955398,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.6404593639575972,0.4207947084762371,0.43299055515868967
MAT00003,0.8094091233799368,0.006365565322825098,0.8062500000000001,0.6979310344827586,0.34,Supplier C,ISO 14001,0.15548145060441848,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.5889520714865963,0.2942496392496393,0.6676386493519747
MAT00004,0.35891417491580774,0.3439426088713752,0.265,0.04344827586206895,0.459,Supplier D,ISO 14001,0.12484368486869526,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0.9583608724388633,0.4080566981656476,0.3607656699663231
MAT00005,0.8854372895193388,0.3616247347681116,0.1925,0.0696551724137931,0.6609999999999999,Supplier A,FSC,0.7734472696957065,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9348807221147647,0.37272041367963327,0.6102249158077355
MAT00006,0.4533523828962139,0.8342932201677277,0.16250000000000003,0.35517241379310344,0.67,Supplier A,EcoCert,0.7021675698207587,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,0.7379134860050891,0.3936157707848659,0.43109095315848556
MAT00007,0.7290948055924074,0.1633828432858442,0.38,0.9896551724137931,0.64,Supplier C,ISO 14001,0.5571071279699875,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.5025996533795494,0.4110186052737251,0.597637922236963
MAT00008,0.8050209205020921,0.40123269677680107,0.06625000000000003,0.9131034482758621,0.5670000000000001,Supplier B,Unknown,0.7182159233013755,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,0.5227108868060562,0.3299934497816594,0.5119833682008369
MAT00009,0.1427900806204715,0.13953723350510258,0.745,0.5393103448275862,0.747,Supplier E,Cradle to Cradle,0.4285118799499792,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,0.6496415770609318,0.5229217974905165,0.5047160322481886
MAT00010,0.5094805592407389,0.09083560674952007,0.04750000000000004,0.10965517241379309,0.627,Supplier D,EcoCert,0.7924135056273447,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9011808576755749,0.34980767441860466,0.4061422236962956
MAT00011,0.5958567200734769,0.46812165302616965,0.2512500000000001,0.5531034482758621,0.9420000000000001,Supplier A,Unknown,0.6804918716131722,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,0.6438721136767318,0.5605501674314771,0.5963176880293908
MAT00012,0.768568221247066,0.3402041022532081,0.29375000000000007,0.15793103448275864,0.003,Supplier C,EcoCert,0.7223843268028346,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.8636092912447885,0.0017417715392061956,0.39645228849882647
MAT00013,0.8704969894887233,0.2984742851369102,0.6387499999999999,0.6089655172413794,0.153,Supplier E,EcoCert,0.7628178407669863,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.6215173596228032,0.08679285883187514,0.5857237957954893
MAT00014,0.48856005714868866,0.11175103566737397,0.36250000000000004,0.9855172413793104,0.807,Supplier B,EcoCert,0.23947478115881618,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5036470996873914,0.6510822263326047,0.5462740228594755
MAT00015,0.8160016328196755,0.9781752046074569,0.5325000000000001,0.1255172413793103,0.66,Supplier B,GOTS,0.9472696957065444,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,0.8884803921568628,0.3389361018944665,0.6841506531278703
MAT00016,0.9643637105827125,0.9290694149742347,0.7550000000000001,0.6896551724137931,0.713,Supplier C,Cradle to Cradle,0.39912463526469366,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,0.5918367346938775,0.5096043497691046,0.8261454842330851
MAT00017,0.24782120624553527,0.06395877538648076,0.02124999999999999,0.5537931034482758,0.588,Supplier A,FSC,0.007294706127553147,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.6435863293386596,0.5837417752948478,0.28190348249821406
