material_id,material_name,material_type,durability_score,cushioning_score,water_resistance_score,biodegradability_score,recyclability_score,co2_emission_per_kg,cost_per_kg,weight_capacity_kg
1.0,40.0,27.0,7.0,4.0,5.0,10.0,2.0,0.28,0.77,42.0
2.0,58.0,36.0,7.0,9.0,3.0,10.0,10.0,0.55,1.32,46.0
3.0,27.0,20.0,6.0,8.0,7.0,10.0,8.0,1.17,2.77,61.0
4.0,25.0,18.0,9.0,4.0,9.0,10.0,7.0,1.49,3.01,36.0
5.0,32.0,19.0,7.0,7.0,9.0,10.0,6.0,1.19,2.39,8.0
6.0,31.0,19.0,5.0,6.0,8.0,5.0,9.0,1.45,2.69,66.0
7.0,54.0,32.0,5.0,8.0,6.0,10.0,6.0,0.33,2.57,11.0
8.0,62.0,19.0,9.0,4.0,9.0,5.0,10.0,0.53,2.5,22.0
9.0,61.0,19.0,5.0,7.0,7.0,5.0,3.0,1.12,0.82,26.0
10.0,4.0,2.0,4.0,3.0,4.0,7.0,7.0,0.98,1.49,30.0
11.0,3.0,19.0,7.0,7.0,7.0,7.0,6.0,0.79,2.77,31.0
12.0,34.0,23.0,9.0,8.0,3.0,6.0,5.0,1.5,2.4,6.0
13.0,28.0,21.0,6.0,4.0,8.0,6.0,8.0,0.21,2.88,38.0
14.0,49.0,29.0,7.0,3.0,8.0,9.0,10.0,1.37,0.8,70.0
15.0,26.0,20.0,5.0,8.0,4.0,9.0,6.0,0.9,1.04,64.0
16.0,46.0,27.0,9.0,4.0,8.0,6.0,9.0,0.78,1.46,5.0
17.0,12.0,6.0,5.0,6.0,9.0,9.0,2.0,0.45,1.91,76.0
18.0,9.0,5.0,4.0,6.0,9.0,8.0,4.0,1.43,3.08,17.0
19.0,42.0,27.0,6.0,4.0,7.0,8.0,10.0,1.43,2.26,16.0
20.0,39.0,27.0,8.0,7.0,9.0,8.0,7.0,0.21,2.87,66.0
21.0,23.0,16.0,4.0,5.0,7.0,5.0,8.0,0.74,1.54,9.0
22.0,24.0,17.0,6.0,9.0,6.0,8.0,8.0,0.6,0.53,73.0
23.0,18.0,12.0,4.0,9.0,6.0,6.0,9.0,1.46,0.58,26.0
24.0,41.0,27.0,7.0,8.0,9.0,7.0,6.0,1.0,2.45,57.0
25.0,17.0,11.0,7.0,7.0,4.0,6.0,2.0,1.22,0.7,78.0
26.0,36.0,24.0,6.0,8.0,9.0,10.0,9.0,1.16,3.35,51.0
27.0,37.0,24.0,6.0,8.0,7.0,7.0,10.0,0.6,2.48,43.0
28.0,19.0,19.0,6.0,3.0,5.0,10.0,6.0,1.41,1.74,12.0
29.0,56.0,34.0,6.0,4.0,3.0,6.0,9.0,0.3,2.92,48.0
30.0,14.0,8.0,6.0,4.0,9.0,10.0,9.0,1.19,1.22,38.0
31.0,55.0,33.0,5.0,7.0,8.0,7.0,9.0,0.31,1.04,65.0
32.0,51.0,30.0,6.0,3.0,5.0,9.0,8.0,1.43,1.95,5.0
33.0,29.0,22.0,7.0,8.0,4.0,6.0,4.0,0.57,1.05,50.0
34.0,13.0,7.0,8.0,9.0,6.0,8.0,4.0,1.03,2.15,24.0
35.0,0.0,0.0,6.0,9.0,5.0,6.0,5.0,0.78,3.33,56.0
36.0,59.0,37.0,7.0,3.0,8.0,9.0,5.0,1.29,2.65,76.0
37.0,5.0,3.0,9.0,6.0,3.0,8.0,8.0,1.25,2.07,47.0
38.0,38.0,26.0,6.0,4.0,9.0,9.0,2.0,1.38,1.09,11.0
39.0,16.0,10.0,9.0,9.0,5.0,5.0,3.0,0.35,0.93,9.0
40.0,47.0,28.0,8.0,7.0,7.0,5.0,4.0,0.91,3.43,31.0
41.0,52.0,31.0,7.0,4.0,3.0,5.0,3.0,1.43,2.4,58.0
42.0,21.0,14.0,9.0,7.0,3.0,8.0,5.0,0.86,0.51,39.0
43.0,57.0,35.0,7.0,9.0,7.0,9.0,4.0,0.76,1.23,38.0
44.0,35.0,24.0,4.0,5.0,5.0,10.0,9.0,0.67,0.94,80.0
45.0,45.0,27.0,4.0,4.0,7.0,7.0,10.0,0.32,0.58,21.0
46.0,15.0,9.0,8.0,6.0,3.0,10.0,2.0,0.6,2.63,10.0
47.0,6.0,19.0,4.0,5.0,9.0,10.0,8.0,1.26,1.01,59.0
48.0,7.0,19.0,4.0,5.0,3.0,5.0,6.0,1.27,2.47,6.0
49.0,60.0,38.0,8.0,3.0,7.0,6.0,2.0,0.98,0.72,66.0
50.0,20.0,13.0,6.0,3.0,9.0,7.0,4.0,0.38,2.84,14.0
51.0,2.0,1.0,9.0,7.0,9.0,10.0,7.0,0.26,3.07,65.0
52.0,22.0,15.0,9.0,5.0,5.0,9.0,6.0,0.32,1.63,31.0
53.0,43.0,27.0,9.0,6.0,7.0,5.0,5.0,0.25,3.03,21.0
54.0,30.0,4.0,5.0,4.0,5.0,16.0,16.25,1.5,2.4,9.7
55.0,33.0,4.0,6.0,5.0,6.0,16.0,16.25,1.3,2.2,10.07
56.0,8.0,4.0,7.0,5.0,6.0,16.0,16.25,1.0,3.0,10.63
57.0,53.0,4.0,4.0,5.0,3.0,16.0,16.25,1.8,2.0,3.95
58.0,11.0,4.0,4.0,4.0,3.0,16.0,16.25,1.5,1.8,3.95
59.0,50.0,4.0,4.0,4.0,4.0,16.0,16.25,1.1,3.2,3.48
60.0,1.0,4.0,5.0,3.0,4.0,16.0,16.25,0.9,3.5,9.2
61.0,10.0,4.0,4.0,3.0,4.0,16.0,16.25,0.8,3.0,6.09
