product_id,product_name,industry,weight_kg,volume_cm3,fragility_level,moisture_sensitivity,temperature_sensitivity,price_usd
1.0,36.0,17.0,1.4499999999999997,81.9,4.0,1.0,0.0,205.0
2.0,89.0,19.0,0.2,4.79,3.0,1.0,0.0,205.0
3.0,35.0,5.0,0.4,112.0,1.0,0.0,1.0,100.0
4.0,90.0,29.0,0.1,0.9,2.0,0.0,1.0,205.0
5.0,14.0,1.0,1.0,147.0,2.0,0.0,0.0,80.0
6.0,33.0,28.0,1.4499999999999997,300.0,0.0,0.0,0.0,205.0
7.0,91.0,26.0,0.5,16.2,0.0,0.0,0.0,205.0
8.0,18.0,25.0,0.8,24.0,0.0,0.0,0.0,205.0
9.0,23.0,25.0,1.4499999999999997,576.0,0.0,0.0,0.0,205.0
10.0,31.0,6.0,0.1,2.0,0.0,0.0,0.0,150.0
11.0,117.0,3.0,0.1,6.0,0.0,0.0,0.0,20.0
12.0,29.0,3.0,0.3,7.5,0.0,0.0,0.0,80.0
13.0,21.0,10.0,0.5,250.0,0.0,0.0,0.0,40.0
14.0,24.0,16.0,1.0,384.0,0.0,0.0,0.0,30.0
15.0,41.0,18.0,0.2,8.0,0.0,0.0,0.0,15.0
16.0,115.0,1.0,0.05,4.0,2.0,0.0,0.0,100.0
17.0,47.0,18.0,0.15,3.0,0.0,0.0,0.0,25.0
18.0,19.0,2.0,0.1,30.0,0.0,0.0,0.0,10.0
19.0,40.0,1.0,0.3,72.0,2.0,0.0,0.0,50.0
20.0,110.0,18.0,0.2,8.0,0.0,0.0,0.0,30.0
21.0,81.0,11.0,0.2,9.0,0.0,0.0,0.0,150.0
22.0,48.0,11.0,1.4499999999999997,432.0,0.0,0.0,0.0,205.0
23.0,28.0,23.0,0.3,8.0,0.0,0.0,0.0,50.0
24.0,116.0,3.0,0.5,72.0,0.0,0.0,0.0,40.0
25.0,60.0,14.0,0.3,10.0,0.0,0.0,0.0,120.0
26.0,39.0,16.0,0.8,96.0,0.0,0.0,0.0,40.0
27.0,119.0,14.0,0.4,36.0,0.0,0.0,0.0,80.0
28.0,32.0,21.0,1.4499999999999997,610.0,0.0,0.0,0.0,205.0
29.0,77.0,6.0,1.0,144.0,0.0,0.0,0.0,70.0
30.0,26.0,23.0,0.2,20.0,0.0,0.0,0.0,60.0
31.0,20.0,16.0,1.4499999999999997,610.0,0.0,0.0,0.0,80.0
32.0,34.0,3.0,0.15,6.0,0.0,0.0,0.0,50.0
33.0,67.0,10.0,0.1,16.0,0.0,0.0,0.0,20.0
34.0,3.0,2.0,0.1,12.0,0.0,0.0,0.0,30.0
35.0,118.0,20.0,0.05,4.0,0.0,0.0,0.0,20.0
36.0,37.0,1.0,0.4,112.0,2.0,0.0,0.0,100.0
37.0,45.0,3.0,0.6,96.0,0.0,0.0,0.0,150.0
38.0,74.0,12.0,0.1,8.0,0.0,0.0,0.0,20.0
39.0,63.0,29.0,0.1,24.0,2.0,0.0,1.0,200.0
40.0,22.0,10.0,0.3,128.0,0.0,0.0,0.0,15.0
41.0,50.0,10.0,0.2,32.0,0.0,0.0,0.0,25.0
42.0,112.0,18.0,0.3,48.0,0.0,0.0,0.0,30.0
43.0,6.0,2.0,0.1,6.0,0.0,0.0,0.0,20.0
44.0,25.0,21.0,1.4499999999999997,610.0,0.0,0.0,0.0,205.0
45.0,64.0,12.0,0.3,16.0,0.0,0.0,0.0,100.0
46.0,70.0,10.0,1.0,384.0,0.0,0.0,0.0,200.0
47.0,95.0,2.0,0.2,40.0,0.0,0.0,0.0,40.0
48.0,59.0,14.0,0.5,18.0,0.0,0.0,0.0,150.0
49.0,30.0,29.0,0.1,2.0,2.0,0.0,1.0,120.0
50.0,5.0,1.0,0.05,4.0,2.0,0.0,0.0,60.0
51.0,66.0,10.0,0.3,5.0,0.0,0.0,0.0,20.0
52.0,43.0,16.0,0.6,63.0,0.0,0.0,0.0,80.0
53.0,107.0,3.0,0.4,40.0,0.0,0.0,0.0,25.0
54.0,27.0,21.0,1.4499999999999997,610.0,0.0,0.0,0.0,205.0
55.0,87.0,12.0,0.1,8.0,0.0,0.0,0.0,20.0
56.0,2.0,0.0,0.1,80.0,0.0,0.0,0.0,25.0
57.0,54.0,21.0,0.5,15.0,0.0,0.0,0.0,50.0
58.0,46.0,23.0,0.3,64.0,0.0,0.0,0.0,30.0
59.0,101.0,10.0,0.8,432.0,0.0,0.0,0.0,70.0
60.0,84.0,8.0,0.2,90.0,0.0,0.0,0.0,40.0
61.0,10.0,1.0,0.3,32.0,2.0,0.0,0.0,20.0
62.0,62.0,9.0,1.4499999999999997,610.0,0.0,0.0,0.0,100.0
63.0,111.0,10.0,0.5,48.0,0.0,0.0,0.0,40.0
64.0,51.0,27.0,1.0,610.0,0.0,0.0,0.0,50.0
65.0,44.0,16.0,1.4499999999999997,610.0,0.0,0.0,0.0,150.0
66.0,72.0,24.0,1.2,610.0,0.0,0.0,0.0,80.0
67.0,106.0,3.0,0.2,12.0,0.0,0.0,0.0,30.0
68.0,82.0,0.0,0.5,100.0,0.0,0.0,0.0,40.0
69.0,0.0,21.0,0.2,12.0,0.0,0.0,0.0,30.0
70.0,83.0,0.0,0.1,6.0,0.0,0.0,0.0,50.0
71.0,103.0,10.0,0.7,288.0,0.0,0.0,0.0,60.0
72.0,86.0,9.0,1.4499999999999997,610.0,0.0,0.0,0.0,100.0
73.0,9.0,10.0,0.1,6.0,0.0,0.0,0.0,20.0
74.0,93.0,10.0,0.5,250.0,0.0,0.0,0.0,80.0
75.0,78.0,6.0,0.3,10.0,0.0,0.0,0.0,20.0
76.0,42.0,11.0,0.6,192.0,0.0,0.0,0.0,40.0
77.0,96.0,2.0,0.3,48.0,0.0,0.0,0.0,50.0
78.0,52.0,21.0,0.5,480.0,0.0,0.0,0.0,100.0
79.0,4.0,2.0,0.1,4.0,0.0,0.0,0.0,20.0
80.0,75.0,8.0,0.3,24.0,0.0,0.0,0.0,30.0
81.0,88.0,11.0,0.3,16.0,0.0,0.0,0.0,120.0
82.0,92.0,10.0,0.5,48.0,0.0,0.0,0.0,40.0
83.0,85.0,14.0,0.2,9.0,0.0,0.0,0.0,30.0
84.0,7.0,16.0,0.1,4.0,0.0,0.0,0.0,20.0
85.0,79.0,8.0,0.1,32.0,0.0,0.0,0.0,25.0
86.0,109.0,10.0,1.0,610.0,0.0,0.0,0.0,100.0
87.0,65.0,16.0,0.5,80.0,0.0,0.0,0.0,50.0
88.0,38.0,11.0,0.8,360.0,0.0,0.0,0.0,70.0
89.0,13.0,14.0,0.3,15.0,0.0,0.0,0.0,80.0
90.0,97.0,10.0,0.2,8.0,0.0,0.0,0.0,20.0
91.0,71.0,10.0,0.2,24.0,0.0,0.0,0.0,15.0
92.0,108.0,3.0,0.5,80.0,0.0,0.0,0.0,30.0
93.0,56.0,10.0,0.3,288.0,0.0,0.0,0.0,40.0
94.0,11.0,1.0,0.2,160.0,2.0,0.0,0.0,50.0
95.0,49.0,16.0,1.4499999999999997,610.0,0.0,0.0,0.0,120.0
96.0,104.0,10.0,1.2,610.0,0.0,0.0,0.0,70.0
97.0,68.0,12.0,0.2,16.0,0.0,0.0,0.0,30.0
98.0,113.0,10.0,0.5,96.0,0.0,0.0,0.0,40.0
99.0,17.0,16.0,0.3,32.0,0.0,0.0,0.0,30.0
100.0,61.0,10.0,1.4499999999999997,610.0,0.0,0.0,0.0,80.0
101.0,94.0,10.0,1.4499999999999997,610.0,0.0,0.0,0.0,100.0
102.0,73.0,7.0,0.5,216.0,0.0,0.0,0.0,60.0
103.0,8.0,13.0,0.3,48.0,0.0,0.0,0.0,40.0
104.0,57.0,24.0,0.2,4.0,0.0,0.0,0.0,50.0
105.0,102.0,10.0,1.0,610.0,0.0,0.0,0.0,90.0
106.0,76.0,10.0,0.1,6.0,0.0,0.0,0.0,20.0
107.0,100.0,10.0,0.7,360.0,0.0,0.0,0.0,60.0
108.0,58.0,24.0,1.0,610.0,0.0,0.0,0.0,70.0
109.0,12.0,10.0,0.1,16.0,0.0,0.0,0.0,20.0
110.0,114.0,10.0,0.5,144.0,0.0,0.0,0.0,50.0
111.0,80.0,0.0,0.1,610.0,0.0,0.0,0.0,20.0
112.0,99.0,10.0,0.3,24.0,0.0,0.0,0.0,30.0
113.0,16.0,8.0,0.2,90.0,0.0,0.0,0.0,25.0
114.0,55.0,15.0,0.5,96.0,0.0,0.0,0.0,40.0
115.0,105.0,10.0,0.8,610.0,0.0,0.0,0.0,80.0
116.0,69.0,27.0,0.1,1.6,0.0,0.0,0.0,15.0
117.0,1.0,22.0,0.2,48.0,0.0,0.0,0.0,40.0
118.0,98.0,10.0,0.5,18.0,0.0,0.0,0.0,35.0
119.0,53.0,4.0,0.1,8.0,0.0,0.0,0.0,25.0
120.0,15.0,1.0,0.3,48.0,2.0,0.0,0.0,60.0
