material_id,material_type,material_subtype,strength_MPa,weight_capacity_kg,density_g_per_cm3,cost_per_kg_usd,biodegradability_score,co2_emission_kgCO2_per_kg,recyclability_percentage
1,PHA Bioplastic,Bio-degradable Polymer,35.59,28.98,2.077,4.4,15.4,2.561,95.5
2,Rice Husk Composite,Agro-waste Composite,53.74,25.88,2.086,6.29,48.1,3.017,50.1
3,Recycled Glass,Glass-based,36.91,10.24,0.458,4.4,53.3,0.429,26.7
4,Seaweed Bioplastic,Marine-based Polymer,170.01,12.78,2.456,6.89,5.2,3.775,58.8
5,Coconut Coir,Natural Fiber,99.16,25.83,1.463,4.64,33.7,1.129,88.6
6,PHA Bioplastic,Bio-degradable Polymer,141.89,10.87,2.266,4.71,13.4,4.5,75.9
7,Recycled Aluminum,Metal-based,229.66,6.75,1.0,7.07,6.3,1.105,82.6
8,Molded Pulp,Paper-based,84.84,17.59,2.439,3.53,99.0,1.034,69.3
9,PHA Bioplastic,Bio-degradable Polymer,120.28,28.21,1.173,1.51,32.2,0.279,72.3
10,Recycled Glass,Glass-based,196.22,21.49,0.227,0.72,81.0,2.413,86.4
11,Recycled Glass,Glass-based,80.34,17.96,2.463,6.16,25.5,2.868,32.5
12,Seaweed Bioplastic,Marine-based Polymer,46.94,4.72,0.428,5.15,68.2,0.422,54.0
13,Coconut Coir,Natural Fiber,93.75,19.22,0.998,5.78,76.0,3.9,29.9
14,Rice Husk Composite,Agro-waste Composite,65.47,29.72,2.575,2.1,59.6,2.321,98.9
15,Seaweed Bioplastic,Marine-based Polymer,234.53,5.92,2.577,1.52,47.2,2.67,95.0
16,Seaweed Bioplastic,Marine-based Polymer,207.79,16.51,1.634,0.61,41.2,2.26,13.5
17,Molded Pulp,Paper-based,169.35,26.57,1.78,3.13,34.9,2.064,73.5
18,PLA Bioplastic,Bio-based Polymer,221.72,22.74,1.321,4.92,93.0,2.842,93.3
19,Coconut Coir,Natural Fiber,206.81,21.52,0.933,3.44,83.1,0.861,26.3
20,Bagasse,Agro-waste Fiber,71.05,21.67,1.022,3.78,96.5,0.991,61.1
21,Seaweed Bioplastic,Marine-based Polymer,226.36,12.07,1.881,7.28,12.4,4.323,92.4
22,Cornstarch Polymer,Bio-based Polymer,148.66,10.22,2.081,3.11,73.1,4.736,13.1
23,PLA Bioplastic,Bio-based Polymer,207.64,24.66,2.179,4.35,93.8,1.929,72.8
24,Bagasse,Agro-waste Fiber,227.14,24.68,2.174,6.38,18.1,1.427,36.8
25,Cornstarch Polymer,Bio-based Polymer,99.96,26.28,0.428,3.47,6.6,3.256,93.2
26,Coconut Coir,Natural Fiber,54.21,27.57,1.436,5.17,74.1,2.103,97.4
27,Bamboo,Plant-based Fiber,80.15,16.32,0.344,6.97,57.4,0.224,95.0
